choice,other_choice,pid,role,round,session_code,treatment
1,2,843jreqr,row,1,3apd5c4u,positive
0,0,843jreqr,row,2,3apd5c4u,positive
2,0,843jreqr,row,3,3apd5c4u,positive
2,2,843jreqr,row,4,3apd5c4u,positive
1,0,843jreqr,row,5,3apd5c4u,positive
0,1,843jreqr,row,6,3apd5c4u,positive
2,2,843jreqr,row,7,3apd5c4u,positive
2,2,843jreqr,row,8,3apd5c4u,positive
2,1,843jreqr,row,9,3apd5c4u,positive
2,2,843jreqr,row,10,3apd5c4u,positive
2,0,843jreqr,row,11,3apd5c4u,positive
1,2,843jreqr,row,12,3apd5c4u,positive
0,0,843jreqr,row,13,3apd5c4u,positive
1,1,843jreqr,row,14,3apd5c4u,positive
2,2,843jreqr,row,15,3apd5c4u,positive
1,0,843jreqr,row,16,3apd5c4u,positive
0,0,843jreqr,row,17,3apd5c4u,positive
2,0,843jreqr,row,18,3apd5c4u,positive
2,0,843jreqr,row,19,3apd5c4u,positive
2,0,843jreqr,row,20,3apd5c4u,positive
1,2,843jreqr,row,21,3apd5c4u,positive
1,2,843jreqr,row,22,3apd5c4u,positive
1,0,843jreqr,row,23,3apd5c4u,positive
2,1,843jreqr,row,24,3apd5c4u,positive
2,2,843jreqr,row,25,3apd5c4u,positive
2,2,843jreqr,row,26,3apd5c4u,positive
0,0,843jreqr,row,27,3apd5c4u,positive
1,2,843jreqr,row,28,3apd5c4u,positive
1,0,843jreqr,row,29,3apd5c4u,positive
2,0,843jreqr,row,30,3apd5c4u,positive
1,2,843jreqr,row,31,3apd5c4u,positive
2,1,843jreqr,row,32,3apd5c4u,positive
0,2,843jreqr,row,33,3apd5c4u,positive
1,1,843jreqr,row,34,3apd5c4u,positive
2,2,843jreqr,row,35,3apd5c4u,positive
1,0,843jreqr,row,36,3apd5c4u,positive
1,1,843jreqr,row,37,3apd5c4u,positive
1,2,843jreqr,row,38,3apd5c4u,positive
2,0,843jreqr,row,39,3apd5c4u,positive
1,1,843jreqr,row,40,3apd5c4u,positive
0,0,843jreqr,row,41,3apd5c4u,positive
1,1,843jreqr,row,42,3apd5c4u,positive
1,2,843jreqr,row,43,3apd5c4u,positive
1,0,843jreqr,row,44,3apd5c4u,positive
2,0,843jreqr,row,45,3apd5c4u,positive
0,2,843jreqr,row,46,3apd5c4u,positive
1,2,843jreqr,row,47,3apd5c4u,positive
2,2,843jreqr,row,48,3apd5c4u,positive
2,2,843jreqr,row,49,3apd5c4u,positive
0,1,843jreqr,row,50,3apd5c4u,positive
2,1,qvyjti0e,col,1,3apd5c4u,positive
0,2,qvyjti0e,col,2,3apd5c4u,positive
0,2,qvyjti0e,col,3,3apd5c4u,positive
1,2,qvyjti0e,col,4,3apd5c4u,positive
1,1,qvyjti0e,col,5,3apd5c4u,positive
1,0,qvyjti0e,col,6,3apd5c4u,positive
1,2,qvyjti0e,col,7,3apd5c4u,positive
0,2,qvyjti0e,col,8,3apd5c4u,positive
1,2,qvyjti0e,col,9,3apd5c4u,positive
1,2,qvyjti0e,col,10,3apd5c4u,positive
0,2,qvyjti0e,col,11,3apd5c4u,positive
2,1,qvyjti0e,col,12,3apd5c4u,positive
0,0,qvyjti0e,col,13,3apd5c4u,positive
1,1,qvyjti0e,col,14,3apd5c4u,positive
2,1,qvyjti0e,col,15,3apd5c4u,positive
0,1,qvyjti0e,col,16,3apd5c4u,positive
0,0,qvyjti0e,col,17,3apd5c4u,positive
0,1,qvyjti0e,col,18,3apd5c4u,positive
0,2,qvyjti0e,col,19,3apd5c4u,positive
2,2,qvyjti0e,col,20,3apd5c4u,positive
2,1,qvyjti0e,col,21,3apd5c4u,positive
1,0,qvyjti0e,col,22,3apd5c4u,positive
0,1,qvyjti0e,col,23,3apd5c4u,positive
2,2,qvyjti0e,col,24,3apd5c4u,positive
2,2,qvyjti0e,col,25,3apd5c4u,positive
2,2,qvyjti0e,col,26,3apd5c4u,positive
0,0,qvyjti0e,col,27,3apd5c4u,positive
2,2,qvyjti0e,col,28,3apd5c4u,positive
0,1,qvyjti0e,col,29,3apd5c4u,positive
0,2,qvyjti0e,col,30,3apd5c4u,positive
2,1,qvyjti0e,col,31,3apd5c4u,positive
2,1,qvyjti0e,col,32,3apd5c4u,positive
0,2,qvyjti0e,col,33,3apd5c4u,positive
1,2,qvyjti0e,col,34,3apd5c4u,positive
2,2,qvyjti0e,col,35,3apd5c4u,positive
0,1,qvyjti0e,col,36,3apd5c4u,positive
0,0,qvyjti0e,col,37,3apd5c4u,positive
2,1,qvyjti0e,col,38,3apd5c4u,positive
0,2,qvyjti0e,col,39,3apd5c4u,positive
1,1,qvyjti0e,col,40,3apd5c4u,positive
0,0,qvyjti0e,col,41,3apd5c4u,positive
1,0,qvyjti0e,col,42,3apd5c4u,positive
2,1,qvyjti0e,col,43,3apd5c4u,positive
1,1,qvyjti0e,col,44,3apd5c4u,positive
0,2,qvyjti0e,col,45,3apd5c4u,positive
0,2,qvyjti0e,col,46,3apd5c4u,positive
2,1,qvyjti0e,col,47,3apd5c4u,positive
2,1,qvyjti0e,col,48,3apd5c4u,positive
2,2,qvyjti0e,col,49,3apd5c4u,positive
1,0,qvyjti0e,col,50,3apd5c4u,positive
1,2,i0nzneoe,row,1,3apd5c4u,positive
2,0,i0nzneoe,row,2,3apd5c4u,positive
0,0,i0nzneoe,row,3,3apd5c4u,positive
1,2,i0nzneoe,row,4,3apd5c4u,positive
1,0,i0nzneoe,row,5,3apd5c4u,positive
0,0,i0nzneoe,row,6,3apd5c4u,positive
2,1,i0nzneoe,row,7,3apd5c4u,positive
1,1,i0nzneoe,row,8,3apd5c4u,positive
2,1,i0nzneoe,row,9,3apd5c4u,positive
1,2,i0nzneoe,row,10,3apd5c4u,positive
2,0,i0nzneoe,row,11,3apd5c4u,positive
1,2,i0nzneoe,row,12,3apd5c4u,positive
0,0,i0nzneoe,row,13,3apd5c4u,positive
1,0,i0nzneoe,row,14,3apd5c4u,positive
2,2,i0nzneoe,row,15,3apd5c4u,positive
1,0,i0nzneoe,row,16,3apd5c4u,positive
0,0,i0nzneoe,row,17,3apd5c4u,positive
1,0,i0nzneoe,row,18,3apd5c4u,positive
2,0,i0nzneoe,row,19,3apd5c4u,positive
2,2,i0nzneoe,row,20,3apd5c4u,positive
1,2,i0nzneoe,row,21,3apd5c4u,positive
1,1,i0nzneoe,row,22,3apd5c4u,positive
1,0,i0nzneoe,row,23,3apd5c4u,positive
2,2,i0nzneoe,row,24,3apd5c4u,positive
2,2,i0nzneoe,row,25,3apd5c4u,positive
2,2,i0nzneoe,row,26,3apd5c4u,positive
0,0,i0nzneoe,row,27,3apd5c4u,positive
1,2,i0nzneoe,row,28,3apd5c4u,positive
1,0,i0nzneoe,row,29,3apd5c4u,positive
2,0,i0nzneoe,row,30,3apd5c4u,positive
1,2,i0nzneoe,row,31,3apd5c4u,positive
2,2,i0nzneoe,row,32,3apd5c4u,positive
0,0,i0nzneoe,row,33,3apd5c4u,positive
2,1,i0nzneoe,row,34,3apd5c4u,positive
2,2,i0nzneoe,row,35,3apd5c4u,positive
1,0,i0nzneoe,row,36,3apd5c4u,positive
1,0,i0nzneoe,row,37,3apd5c4u,positive
1,2,i0nzneoe,row,38,3apd5c4u,positive
1,0,i0nzneoe,row,39,3apd5c4u,positive
1,1,i0nzneoe,row,40,3apd5c4u,positive
0,0,i0nzneoe,row,41,3apd5c4u,positive
1,1,i0nzneoe,row,42,3apd5c4u,positive
1,2,i0nzneoe,row,43,3apd5c4u,positive
1,1,i0nzneoe,row,44,3apd5c4u,positive
2,0,i0nzneoe,row,45,3apd5c4u,positive
0,0,i0nzneoe,row,46,3apd5c4u,positive
1,2,i0nzneoe,row,47,3apd5c4u,positive
2,2,i0nzneoe,row,48,3apd5c4u,positive
2,2,i0nzneoe,row,49,3apd5c4u,positive
0,1,i0nzneoe,row,50,3apd5c4u,positive
2,1,emyx425p,col,1,3apd5c4u,positive
0,2,emyx425p,col,2,3apd5c4u,positive
0,2,emyx425p,col,3,3apd5c4u,positive
2,2,emyx425p,col,4,3apd5c4u,positive
0,1,emyx425p,col,5,3apd5c4u,positive
0,0,emyx425p,col,6,3apd5c4u,positive
1,2,emyx425p,col,7,3apd5c4u,positive
1,2,emyx425p,col,8,3apd5c4u,positive
2,2,emyx425p,col,9,3apd5c4u,positive
2,2,emyx425p,col,10,3apd5c4u,positive
0,2,emyx425p,col,11,3apd5c4u,positive
2,1,emyx425p,col,12,3apd5c4u,positive
0,0,emyx425p,col,13,3apd5c4u,positive
0,1,emyx425p,col,14,3apd5c4u,positive
0,1,emyx425p,col,15,3apd5c4u,positive
2,1,emyx425p,col,16,3apd5c4u,positive
0,0,emyx425p,col,17,3apd5c4u,positive
0,1,emyx425p,col,18,3apd5c4u,positive
0,2,emyx425p,col,19,3apd5c4u,positive
0,2,emyx425p,col,20,3apd5c4u,positive
0,1,emyx425p,col,21,3apd5c4u,positive
2,1,emyx425p,col,22,3apd5c4u,positive
0,1,emyx425p,col,23,3apd5c4u,positive
1,2,emyx425p,col,24,3apd5c4u,positive
2,2,emyx425p,col,25,3apd5c4u,positive
0,2,emyx425p,col,26,3apd5c4u,positive
0,0,emyx425p,col,27,3apd5c4u,positive
2,1,emyx425p,col,28,3apd5c4u,positive
