col,col_play,round,row,row_play,session_code,type
"[[[6.0, 5.0], [6.0, 6.0], [2.0, 7.0]], [[9.0, 7.0], [4.0, 4.0], [7.0, 6.0]], [[2.0, 5.0], [5.0, 4.0], [1.0, 0.0]]]","[0.5,0.0,0.5]",1,"[[[6.0, 5.0], [6.0, 6.0], [2.0, 7.0]], [[9.0, 7.0], [4.0, 4.0], [7.0, 6.0]], [[2.0, 5.0], [5.0, 4.0], [1.0, 0.0]]]","[0.16666666666666666,0.8333333333333334,0.0]",3apd5c4u,treatment
"[[[2.0, 4.0], [3.0, 5.0], [5.0, 8.0]], [[6.0, 8.0], [1.0, 7.0], [4.0, 5.0]], [[5.0, 7.0], [4.0, 1.0], [5.0, 4.0]]]","[0.5,0.5,0.0]",2,"[[[2.0, 4.0], [3.0, 5.0], [5.0, 8.0]], [[6.0, 8.0], [1.0, 7.0], [4.0, 5.0]], [[5.0, 7.0], [4.0, 1.0], [5.0, 4.0]]]","[0.5,0.0,0.5]",3apd5c4u,treatment
"[[[8.0, 8.0], [1.0, 0.0], [8.0, 7.0]], [[2.0, 5.0], [3.0, 3.0], [0.0, 0.0]], [[8.0, 9.0], [2.0, 5.0], [3.0, 4.0]]]","[1.0,0.0,0.0]",3,"[[[8.0, 8.0], [1.0, 0.0], [8.0, 7.0]], [[2.0, 5.0], [3.0, 3.0], [0.0, 0.0]], [[8.0, 9.0], [2.0, 5.0], [3.0, 4.0]]]","[0.3333333333333333,0.0,0.6666666666666666]",3apd5c4u,treatment
"[[[4.0, 5.0], [2.0, 3.0], [3.0, 3.0]], [[2.0, 0.0], [7.0, 9.0], [6.0, 6.0]], [[5.0, 6.0], [7.0, 6.0], [8.0, 4.0]]]","[0.0,0.5,0.5]",4,"[[[4.0, 5.0], [2.0, 3.0], [3.0, 3.0]], [[2.0, 0.0], [7.0, 9.0], [6.0, 6.0]], [[5.0, 6.0], [7.0, 6.0], [8.0, 4.0]]]","[0.0,0.5,0.5]",3apd5c4u,treatment
"[[[3.0, 3.0], [6.0, 0.0], [5.0, 6.0]], [[8.0, 6.0], [9.0, 9.0], [1.0, 1.0]], [[5.0, 7.0], [4.0, 6.0], [5.0, 4.0]]]","[0.5,0.5,0.0]",5,"[[[3.0, 3.0], [6.0, 0.0], [5.0, 6.0]], [[8.0, 6.0], [9.0, 9.0], [1.0, 1.0]], [[5.0, 7.0], [4.0, 6.0], [5.0, 4.0]]]","[0.0,1.0,0.0]",3apd5c4u,treatment
"[[[6.0, 8.0], [8.0, 9.0], [1.0, 1.0]], [[9.0, 7.0], [1.0, 4.0], [2.0, 1.0]], [[6.0, 6.0], [1.0, 4.0], [9.0, 7.0]]]","[0.5,0.5,0.0]",6,"[[[6.0, 8.0], [8.0, 9.0], [1.0, 1.0]], [[9.0, 7.0], [1.0, 4.0], [2.0, 1.0]], [[6.0, 6.0], [1.0, 4.0], [9.0, 7.0]]]","[0.5,0.3333333333333333,0.16666666666666666]",3apd5c4u,treatment
"[[[3.0, 2.0], [2.0, 4.0], [6.0, 6.0]], [[1.0, 0.0], [6.0, 8.0], [4.0, 7.0]], [[5.0, 4.0], [9.0, 9.0], [6.0, 7.0]]]","[0.0,0.75,0.25]",7,"[[[3.0, 2.0], [2.0, 4.0], [6.0, 6.0]], [[1.0, 0.0], [6.0, 8.0], [4.0, 7.0]], [[5.0, 4.0], [9.0, 9.0], [6.0, 7.0]]]","[0.0,0.16666666666666666,0.8333333333333334]",3apd5c4u,treatment
"[[[7.0, 9.0], [5.0, 5.0], [5.0, 5.0]], [[7.0, 5.0], [5.0, 6.0], [6.0, 4.0]], [[5.0, 6.0], [4.0, 6.0], [7.0, 9.0]]]","[0.5,0.25,0.25]",8,"[[[7.0, 9.0], [5.0, 5.0], [5.0, 5.0]], [[7.0, 5.0], [5.0, 6.0], [6.0, 4.0]], [[5.0, 6.0], [4.0, 6.0], [7.0, 9.0]]]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]",3apd5c4u,treatment
"[[[5.0, 2.0], [5.0, 7.0], [8.0, 7.0]], [[2.0, 2.0], [3.0, 2.0], [3.0, 4.0]], [[4.0, 3.0], [9.0, 9.0], [5.0, 5.0]]]","[0.0,0.75,0.25]",9,"[[[5.0, 2.0], [5.0, 7.0], [8.0, 7.0]], [[2.0, 2.0], [3.0, 2.0], [3.0, 4.0]], [[4.0, 3.0], [9.0, 9.0], [5.0, 5.0]]]","[0.16666666666666666,0.16666666666666666,0.6666666666666666]",3apd5c4u,treatment
"[[[1.0, 3.0], [3.0, 3.0], [3.0, 2.0]], [[6.0, 5.0], [8.0, 8.0], [4.0, 4.0]], [[9.0, 5.0], [8.0, 4.0], [4.0, 7.0]]]","[0.0,0.75,0.25]",10,"[[[1.0, 3.0], [3.0, 3.0], [3.0, 2.0]], [[6.0, 5.0], [8.0, 8.0], [4.0, 4.0]], [[9.0, 5.0], [8.0, 4.0], [4.0, 7.0]]]","[0.0,0.5,0.5]",3apd5c4u,treatment
"[[[9.0, 7.0], [1.0, 2.0], [1.0, 1.0]], [[4.0, 4.0], [7.0, 4.0], [6.0, 3.0]], [[9.0, 6.0], [8.0, 6.0], [4.0, 3.0]]]","[1.0,0.0,0.0]",11,"[[[9.0, 7.0], [1.0, 2.0], [1.0, 1.0]], [[4.0, 4.0], [7.0, 4.0], [6.0, 3.0]], [[9.0, 6.0], [8.0, 6.0], [4.0, 3.0]]]","[0.16666666666666666,0.16666666666666666,0.6666666666666666]",3apd5c4u,treatment
"[[[6.0, 2.0], [3.0, 4.0], [4.0, 4.0]], [[6.0, 7.0], [6.0, 4.0], [7.0, 8.0]], [[4.0, 6.0], [6.0, 5.0], [2.0, 2.0]]]","[0.0,0.0,1.0]",12,"[[[6.0, 2.0], [3.0, 4.0], [4.0, 4.0]], [[6.0, 7.0], [6.0, 4.0], [7.0, 8.0]], [[4.0, 6.0], [6.0, 5.0], [2.0, 2.0]]]","[0.16666666666666666,0.8333333333333334,0.0]",3apd5c4u,treatment
"[[[7.0, 7.0], [1.0, 1.0], [5.0, 1.0]], [[1.0, 1.0], [6.0, 4.0], [5.0, 4.0]], [[0.0, 3.0], [2.0, 3.0], [0.0, 1.0]]]","[0.75,0.25,0.0]",13,"[[[7.0, 7.0], [1.0, 1.0], [5.0, 1.0]], [[1.0, 1.0], [6.0, 4.0], [5.0, 4.0]], [[0.0, 3.0], [2.0, 3.0], [0.0, 1.0]]]","[0.6666666666666666,0.0,0.3333333333333333]",3apd5c4u,treatment
"[[[6.0, 4.0], [2.0, 2.0], [3.0, 6.0]], [[6.0, 5.0], [6.0, 7.0], [0.0, 2.0]], [[0.0, 0.0], [0.0, 2.0], [0.0, 0.0]]]","[0.5,0.5,0.0]",14,"[[[6.0, 4.0], [2.0, 2.0], [3.0, 6.0]], [[6.0, 5.0], [6.0, 7.0], [0.0, 2.0]], [[0.0, 0.0], [0.0, 2.0], [0.0, 0.0]]]","[0.16666666666666666,0.8333333333333334,0.0]",3apd5c4u,treatment
"[[[3.0, 2.0], [0.0, 1.0], [4.0, 7.0]], [[3.0, 5.0], [4.0, 4.0], [6.0, 7.0]], [[6.0, 5.0], [0.0, 0.0], [7.0, 8.0]]]","[0.25,0.0,0.75]",15,"[[[3.0, 2.0], [0.0, 1.0], [4.0, 7.0]], [[3.0, 5.0], [4.0, 4.0], [6.0, 7.0]], [[6.0, 5.0], [0.0, 0.0], [7.0, 8.0]]]","[0.0,0.6666666666666666,0.3333333333333333]",3apd5c4u,treatment
"[[[2.0, 5.0], [0.0, 0.0], [3.0, 4.0]], [[7.0, 8.0], [7.0, 4.0], [3.0, 2.0]], [[2.0, 2.0], [5.0, 7.0], [6.0, 8.0]]]","[0.75,0.0,0.25]",16,"[[[2.0, 5.0], [0.0, 0.0], [3.0, 4.0]], [[7.0, 8.0], [7.0, 4.0], [3.0, 2.0]], [[2.0, 2.0], [5.0, 7.0], [6.0, 8.0]]]","[0.0,1.0,0.0]",3apd5c4u,treatment
"[[[8.0, 9.0], [5.0, 7.0], [8.0, 4.0]], [[3.0, 3.0], [8.0, 7.0], [2.0, 5.0]], [[1.0, 5.0], [5.0, 5.0], [4.0, 7.0]]]","[1.0,0.0,0.0]",17,"[[[8.0, 9.0], [5.0, 7.0], [8.0, 4.0]], [[3.0, 3.0], [8.0, 7.0], [2.0, 5.0]], [[1.0, 5.0], [5.0, 5.0], [4.0, 7.0]]]","[0.6666666666666666,0.3333333333333333,0.0]",3apd5c4u,treatment
"[[[4.0, 3.0], [3.0, 6.0], [6.0, 4.0]], [[6.0, 7.0], [3.0, 7.0], [4.0, 0.0]], [[1.0, 2.0], [4.0, 1.0], [6.0, 3.0]]]","[0.75,0.25,0.0]",18,"[[[4.0, 3.0], [3.0, 6.0], [6.0, 4.0]], [[6.0, 7.0], [3.0, 7.0], [4.0, 0.0]], [[1.0, 2.0], [4.0, 1.0], [6.0, 3.0]]]","[0.0,0.6666666666666666,0.3333333333333333]",3apd5c4u,treatment
"[[[4.0, 3.0], [8.0, 5.0], [4.0, 1.0]], [[7.0, 7.0], [6.0, 4.0], [0.0, 0.0]], [[9.0, 8.0], [6.0, 8.0], [7.0, 6.0]]]","[1.0,0.0,0.0]",19,"[[[4.0, 3.0], [8.0, 5.0], [4.0, 1.0]], [[7.0, 7.0], [6.0, 4.0], [0.0, 0.0]], [[9.0, 8.0], [6.0, 8.0], [7.0, 6.0]]]","[0.16666666666666666,0.16666666666666666,0.6666666666666666]",3apd5c4u,treatment
"[[[7.0, 8.0], [1.0, 2.0], [5.0, 9.0]], [[5.0, 6.0], [6.0, 4.0], [6.0, 7.0]], [[9.0, 6.0], [6.0, 8.0], [1.0, 2.0]]]","[0.5,0.0,0.5]",20,"[[[7.0, 8.0], [1.0, 2.0], [5.0, 9.0]], [[5.0, 6.0], [6.0, 4.0], [6.0, 7.0]], [[9.0, 6.0], [6.0, 8.0], [1.0, 2.0]]]","[0.0,0.5,0.5]",3apd5c4u,treatment
"[[[3.0, 6.0], [7.0, 4.0], [5.0, 3.0]], [[8.0, 2.0], [5.0, 4.0], [9.0, 6.0]], [[5.0, 7.0], [4.0, 7.0], [6.0, 7.0]]]","[0.25,0.0,0.75]",21,"[[[3.0, 6.0], [7.0, 4.0], [5.0, 3.0]], [[8.0, 2.0], [5.0, 4.0], [9.0, 6.0]], [[5.0, 7.0], [4.0, 7.0], [6.0, 7.0]]]","[0.16666666666666666,0.8333333333333334,0.0]",3apd5c4u,treatment
"[[[4.0, 3.0], [7.0, 7.0], [6.0, 6.0]], [[2.0, 4.0], [3.0, 2.0], [8.0, 9.0]], [[2.0, 0.0], [6.0, 8.0], [6.0, 6.0]]]","[0.0,0.25,0.75]",22,"[[[4.0, 3.0], [7.0, 7.0], [6.0, 6.0]], [[2.0, 4.0], [3.0, 2.0], [8.0, 9.0]], [[2.0, 0.0], [6.0, 8.0], [6.0, 6.0]]]","[0.3333333333333333,0.5,0.16666666666666666]",3apd5c4u,treatment
"[[[1.0, 3.0], [6.0, 3.0], [3.0, 3.0]], [[8.0, 4.0], [5.0, 3.0], [1.0, 4.0]], [[4.0, 7.0], [6.0, 7.0], [4.0, 6.0]]]","[1.0,0.0,0.0]",23,"[[[1.0, 3.0], [6.0, 3.0], [3.0, 3.0]], [[8.0, 4.0], [5.0, 3.0], [1.0, 4.0]], [[4.0, 7.0], [6.0, 7.0], [4.0, 6.0]]]","[0.0,1.0,0.0]",3apd5c4u,treatment
"[[[2.0, 4.0], [7.0, 9.0], [3.0, 0.0]], [[0.0, 2.0], [7.0, 3.0], [8.0, 8.0]], [[6.0, 5.0], [8.0, 8.0], [4.0, 1.0]]]","[0.0,0.75,0.25]",24,"[[[2.0, 4.0], [7.0, 9.0], [3.0, 0.0]], [[0.0, 2.0], [7.0, 3.0], [8.0, 8.0]], [[6.0, 5.0], [8.0, 8.0], [4.0, 1.0]]]","[0.0,0.16666666666666666,0.8333333333333334]",3apd5c4u,treatment
"[[[4.0, 2.0], [3.0, 3.0], [1.0, 5.0]], [[8.0, 6.0], [3.0, 1.0], [8.0, 9.0]], [[6.0, 2.0], [0.0, 3.0], [9.0, 7.0]]]","[0.0,0.0,1.0]",25,"[[[4.0, 2.0], [3.0, 3.0], [1.0, 5.0]], [[8.0, 6.0], [3.0, 1.0], [8.0, 9.0]], [[6.0, 2.0], [0.0, 3.0], [9.0, 7.0]]]","[0.0,0.16666666666666666,0.8333333333333334]",3apd5c4u,treatment
"[[[4.0, 9.0], [4.0, 5.0], [3.0, 4.0]], [[0.0, 0.0], [4.0, 6.0], [4.0, 7.0]], [[4.0, 6.0], [0.0, 2.0], [7.0, 8.0]]]","[0.25,0.0,0.75]",26,"[[[4.0, 9.0], [4.0, 5.0], [3.0, 4.0]], [[0.0, 0.0], [4.0, 6.0], [4.0, 7.0]], [[4.0, 6.0], [0.0, 2.0], [7.0, 8.0]]]","[0.16666666666666666,0.0,0.8333333333333334]",3apd5c4u,treatment
"[[[7.0, 7.0], [7.0, 6.0], [8.0, 8.0]], [[4.0, 5.0], [7.0, 3.0], [5.0, 6.0]], [[0.0, 4.0], [2.0, 4.0], [5.0, 4.0]]]","[0.5,0.0,0.5]",27,"[[[7.0, 7.0], [7.0, 6.0], [8.0, 8.0]], [[4.0, 5.0], [7.0, 3.0], [5.0, 6.0]], [[0.0, 4.0], [2.0, 4.0], [5.0, 4.0]]]","[0.8333333333333334,0.16666666666666666,0.0]",3apd5c4u,treatment
"[[[4.0, 6.0], [3.0, 0.0], [6.0, 3.0]], [[7.0, 6.0], [5.0, 6.0], [8.0, 7.0]], [[2.0, 3.0], [2.0, 7.0], [8.0, 7.0]]]","[0.0,0.0,1.0]",28,"[[[4.0, 6.0], [3.0, 0.0], [6.0, 3.0]], [[7.0, 6.0], [5.0, 6.0], [8.0, 7.0]], [[2.0, 3.0], [2.0, 7.0], [8.0, 7.0]]]","[0.16666666666666666,0.6666666666666666,0.16666666666666666]",3apd5c4u,treatment
"[[[3.0, 2.0], [3.0, 6.0], [4.0, 3.0]], [[9.0, 9.0], [8.0, 5.0], [6.0, 9.0]], [[0.0, 0.0], [7.0, 8.0], [5.0, 4.0]]]","[0.5,0.0,0.5]",29,"[[[3.0, 2.0], [3.0, 6.0], [4.0, 3.0]], [[9.0, 9.0], [8.0, 5.0], [6.0, 9.0]], [[0.0, 0.0], [7.0, 8.0], [5.0, 4.0]]]","[0.16666666666666666,0.8333333333333334,0.0]",3apd5c4u,treatment
"[[[4.0, 2.0], [9.0, 7.0], [8.0, 5.0]], [[8.0, 9.0], [2.0, 0.0], [4.0, 7.0]], [[9.0, 6.0], [5.0, 3.0], [9.0, 9.0]]]","[0.75,0.0,0.25]",30,"[[[4.0, 2.0], [9.0, 7.0], [8.0, 5.0]], [[8.0, 9.0], [2.0, 0.0], [4.0, 7.0]], [[9.0, 6.0], [5.0, 3.0], [9.0, 9.0]]]","[0.0,0.0,1.0]",3apd5c4u,treatment
"[[[4, 0], [4, 1], [4, 4]], [[8, 8], [3, 5], [0, 4]], [[5, 3], [5, 5], [1, 4]]]","[0.75,0.0,0.25]",31,"[[[4, 0], [4, 1], [4, 4]], [[8, 8], [3, 5], [0, 4]], [[5, 3], [5, 5], [1, 4]]]","[0.3333333333333333,0.5,0.16666666666666666]",3apd5c4u,comparison
