col,col_play,round,row,row_play,session_code,type
"[[[5.0, 6.0], [6.0, 2.0], [7.0, 1.0]], [[3.0, 7.0], [1.0, 5.0], [6.0, 9.0]], [[6.0, 6.0], [5.0, 7.0], [6.0, 5.0]]]","[0.3333333333333333,0.06666666666666667,0.6]",1,"[[[6.0, 5.0], [7.0, 3.0], [6.0, 6.0]], [[2.0, 6.0], [5.0, 1.0], [7.0, 5.0]], [[1.0, 7.0], [9.0, 6.0], [5.0, 6.0]]]","[0.8,0.13333333333333333,0.06666666666666667]",viazupku,treatment
"[[[8.0, 5.0], [1.0, 8.0], [7.0, 5.0]], [[7.0, 7.0], [7.0, 5.0], [8.0, 2.0]], [[5.0, 3.0], [5.0, 5.0], [0.0, 7.0]]]","[0.0,1.0,0.0]",2,"[[[5.0, 8.0], [7.0, 7.0], [3.0, 5.0]], [[8.0, 1.0], [5.0, 7.0], [5.0, 5.0]], [[5.0, 7.0], [2.0, 8.0], [7.0, 0.0]]]","[0.4,0.6,0.0]",viazupku,treatment
"[[[7.0, 3.0], [7.0, 6.0], [5.0, 3.0]], [[3.0, 6.0], [1.0, 8.0], [3.0, 7.0]], [[2.0, 5.0], [4.0, 5.0], [5.0, 3.0]]]","[0.9333333333333333,0.06666666666666667,0.0]",3,"[[[3.0, 7.0], [6.0, 3.0], [5.0, 2.0]], [[6.0, 7.0], [8.0, 1.0], [5.0, 4.0]], [[3.0, 5.0], [7.0, 3.0], [3.0, 5.0]]]","[0.0,0.8,0.2]",viazupku,treatment
"[[[7.0, 2.0], [4.0, 6.0], [7.0, 4.0]], [[5.0, 7.0], [4.0, 5.0], [5.0, 8.0]], [[7.0, 3.0], [4.0, 3.0], [8.0, 3.0]]]","[0.2,0.13333333333333333,0.6666666666666666]",4,"[[[2.0, 7.0], [7.0, 5.0], [3.0, 7.0]], [[6.0, 4.0], [5.0, 4.0], [3.0, 4.0]], [[4.0, 7.0], [8.0, 5.0], [3.0, 8.0]]]","[0.06666666666666667,0.3333333333333333,0.6]",viazupku,treatment
"[[[4.0, 2.0], [2.0, 4.0], [6.0, 6.0]], [[6.0, 3.0], [9.0, 4.0], [6.0, 4.0]], [[5.0, 2.0], [9.0, 1.0], [1.0, 9.0]]]","[0.06666666666666667,0.8666666666666667,0.06666666666666667]",5,"[[[2.0, 4.0], [3.0, 6.0], [2.0, 5.0]], [[4.0, 2.0], [4.0, 9.0], [1.0, 9.0]], [[6.0, 6.0], [4.0, 6.0], [9.0, 1.0]]]","[0.0,0.06666666666666667,0.9333333333333333]",viazupku,treatment
"[[[7.0, 5.0], [7.0, 3.0], [4.0, 5.0]], [[8.0, 0.0], [3.0, 7.0], [3.0, 3.0]], [[2.0, 7.0], [5.0, 5.0], [5.0, 6.0]]]","[0.8666666666666667,0.06666666666666667,0.06666666666666667]",6,"[[[5.0, 7.0], [0.0, 8.0], [7.0, 2.0]], [[3.0, 7.0], [7.0, 3.0], [5.0, 5.0]], [[5.0, 4.0], [3.0, 3.0], [6.0, 5.0]]]","[0.06666666666666667,0.4666666666666667,0.4666666666666667]",viazupku,treatment
"[[[5.0, 5.0], [6.0, 3.0], [5.0, 5.0]], [[4.0, 5.0], [6.0, 4.0], [8.0, 5.0]], [[9.0, 3.0], [6.0, 2.0], [2.0, 8.0]]]","[0.26666666666666666,0.4666666666666667,0.26666666666666666]",7,"[[[5.0, 5.0], [5.0, 4.0], [3.0, 9.0]], [[3.0, 6.0], [4.0, 6.0], [2.0, 6.0]], [[5.0, 5.0], [5.0, 8.0], [8.0, 2.0]]]","[0.0,0.06666666666666667,0.9333333333333333]",viazupku,treatment
"[[[0.0, 8.0], [7.0, 1.0], [3.0, 5.0]], [[7.0, 3.0], [0.0, 5.0], [4.0, 6.0]], [[8.0, 1.0], [0.0, 4.0], [3.0, 4.0]]]","[0.06666666666666667,0.7333333333333333,0.2]",8,"[[[8.0, 0.0], [3.0, 7.0], [1.0, 8.0]], [[1.0, 7.0], [5.0, 0.0], [4.0, 0.0]], [[5.0, 3.0], [6.0, 4.0], [4.0, 3.0]]]","[0.26666666666666666,0.0,0.7333333333333333]",viazupku,treatment
"[[[5.0, 6.0], [6.0, 4.0], [3.0, 7.0]], [[5.0, 4.0], [3.0, 2.0], [2.0, 6.0]], [[5.0, 5.0], [9.0, 2.0], [5.0, 4.0]]]","[0.06666666666666667,0.0,0.9333333333333333]",9,"[[[6.0, 5.0], [4.0, 5.0], [5.0, 5.0]], [[4.0, 6.0], [2.0, 3.0], [2.0, 9.0]], [[7.0, 3.0], [6.0, 2.0], [4.0, 5.0]]]","[0.4666666666666667,0.0,0.5333333333333333]",viazupku,treatment
"[[[0.0, 7.0], [1.0, 8.0], [5.0, 3.0]], [[4.0, 7.0], [4.0, 7.0], [1.0, 8.0]], [[3.0, 4.0], [1.0, 5.0], [3.0, 6.0]]]","[0.0,0.8,0.2]",10,"[[[7.0, 0.0], [7.0, 4.0], [4.0, 3.0]], [[8.0, 1.0], [7.0, 4.0], [5.0, 1.0]], [[3.0, 5.0], [8.0, 1.0], [6.0, 3.0]]]","[0.13333333333333333,0.7333333333333333,0.13333333333333333]",viazupku,treatment
