col,col_play,round,row,row_play,session_code,type
"[[[7.0, 4.0], [5.0, 6.0], [8.0, 9.0]], [[3.0, 2.0], [5.0, 7.0], [7.0, 4.0]], [[6.0, 8.0], [6.0, 4.0], [3.0, 3.0]]]","[0.9285714285714286,0.07142857142857142,0.0]",1,"[[[4.0, 7.0], [2.0, 3.0], [8.0, 6.0]], [[6.0, 5.0], [7.0, 5.0], [4.0, 6.0]], [[9.0, 8.0], [4.0, 7.0], [3.0, 3.0]]]","[0.0,0.25,0.75]",viazupku,treatment
"[[[9.0, 8.0], [7.0, 4.0], [8.0, 7.0]], [[3.0, 2.0], [0.0, 0.0], [6.0, 4.0]], [[9.0, 7.0], [5.0, 1.0], [6.0, 8.0]]]","[0.9285714285714286,0.0,0.07142857142857142]",2,"[[[8.0, 9.0], [2.0, 3.0], [7.0, 9.0]], [[4.0, 7.0], [0.0, 0.0], [1.0, 5.0]], [[7.0, 8.0], [4.0, 6.0], [8.0, 6.0]]]","[0.6875,0.0,0.3125]",viazupku,treatment
"[[[3.0, 4.0], [5.0, 4.0], [4.0, 1.0]], [[8.0, 9.0], [7.0, 8.0], [2.0, 1.0]], [[2.0, 4.0], [8.0, 7.0], [3.0, 5.0]]]","[0.14285714285714285,0.8571428571428571,0.0]",3,"[[[4.0, 3.0], [9.0, 8.0], [4.0, 2.0]], [[4.0, 5.0], [8.0, 7.0], [7.0, 8.0]], [[1.0, 4.0], [1.0, 2.0], [5.0, 3.0]]]","[0.625,0.375,0.0]",viazupku,treatment
"[[[6.0, 6.0], [8.0, 9.0], [3.0, 5.0]], [[0.0, 1.0], [2.0, 6.0], [4.0, 5.0]], [[6.0, 9.0], [6.0, 7.0], [8.0, 5.0]]]","[0.5,0.0,0.5]",4,"[[[6.0, 6.0], [1.0, 0.0], [9.0, 6.0]], [[9.0, 8.0], [6.0, 2.0], [7.0, 6.0]], [[5.0, 3.0], [5.0, 4.0], [5.0, 8.0]]]","[0.125,0.8125,0.0625]",viazupku,treatment
"[[[3.0, 1.0], [5.0, 6.0], [8.0, 7.0]], [[9.0, 9.0], [8.0, 8.0], [8.0, 9.0]], [[7.0, 6.0], [7.0, 3.0], [2.0, 3.0]]]","[0.0,1.0,0.0]",5,"[[[1.0, 3.0], [9.0, 9.0], [6.0, 7.0]], [[6.0, 5.0], [8.0, 8.0], [3.0, 7.0]], [[7.0, 8.0], [9.0, 8.0], [3.0, 2.0]]]","[0.4375,0.0,0.5625]",viazupku,treatment
"[[[3.0, 4.0], [5.0, 4.0], [9.0, 7.0]], [[8.0, 7.0], [0.0, 1.0], [4.0, 3.0]], [[4.0, 2.0], [0.0, 2.0], [0.0, 1.0]]]","[0.8571428571428571,0.14285714285714285,0.0]",6,"[[[4.0, 3.0], [7.0, 8.0], [2.0, 4.0]], [[4.0, 5.0], [1.0, 0.0], [2.0, 0.0]], [[7.0, 9.0], [3.0, 4.0], [1.0, 0.0]]]","[0.3125,0.0,0.6875]",viazupku,treatment
"[[[2.0, 4.0], [5.0, 3.0], [2.0, 1.0]], [[2.0, 1.0], [8.0, 5.0], [3.0, 2.0]], [[2.0, 5.0], [3.0, 6.0], [8.0, 4.0]]]","[0.0,0.7857142857142857,0.21428571428571427]",7,"[[[4.0, 2.0], [1.0, 2.0], [5.0, 2.0]], [[3.0, 5.0], [5.0, 8.0], [6.0, 3.0]], [[1.0, 2.0], [2.0, 3.0], [4.0, 8.0]]]","[0.0,1.0,0.0]",viazupku,treatment
"[[[6.0, 7.0], [0.0, 2.0], [9.0, 6.0]], [[4.0, 6.0], [7.0, 7.0], [4.0, 4.0]], [[5.0, 7.0], [3.0, 5.0], [6.0, 7.0]]]","[0.35714285714285715,0.6428571428571429,0.0]",8,"[[[7.0, 6.0], [6.0, 4.0], [7.0, 5.0]], [[2.0, 0.0], [7.0, 7.0], [5.0, 3.0]], [[6.0, 9.0], [4.0, 4.0], [7.0, 6.0]]]","[0.4375,0.1875,0.375]",viazupku,treatment
"[[[3.0, 5.0], [8.0, 7.0], [2.0, 7.0]], [[9.0, 8.0], [1.0, 2.0], [0.0, 2.0]], [[6.0, 4.0], [2.0, 4.0], [7.0, 5.0]]]","[0.2857142857142857,0.42857142857142855,0.2857142857142857]",9,"[[[5.0, 3.0], [8.0, 9.0], [4.0, 6.0]], [[7.0, 8.0], [2.0, 1.0], [4.0, 2.0]], [[7.0, 2.0], [2.0, 0.0], [5.0, 7.0]]]","[0.9375,0.0,0.0625]",viazupku,treatment
"[[[5.0, 5.0], [3.0, 3.0], [1.0, 0.0]], [[8.0, 5.0], [5.0, 7.0], [4.0, 6.0]], [[6.0, 5.0], [4.0, 4.0], [6.0, 6.0]]]","[0.0,0.7142857142857143,0.2857142857142857]",10,"[[[5.0, 5.0], [5.0, 8.0], [5.0, 6.0]], [[3.0, 3.0], [7.0, 5.0], [4.0, 4.0]], [[0.0, 1.0], [6.0, 4.0], [6.0, 6.0]]]","[0.25,0.5,0.25]",viazupku,treatment
