round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.375, 0.25, 0.375)","(0.5, 0.4375, 0.0625)","[[[5.0, 6.0], [5.0, 4.0], [6.0, 5.0]], [[7.0, 7.0], [4.0, 5.0], [1.0, 7.0]], [[8.0, 0.0], [5.0, 4.0], [1.0, 5.0]]]","[[[6.0, 5.0], [7.0, 7.0], [0.0, 8.0]], [[4.0, 5.0], [5.0, 4.0], [4.0, 5.0]], [[5.0, 6.0], [7.0, 1.0], [5.0, 1.0]]]",negative,treatment
2,"(0.7058823529411765, 0.11764705882352941, 0.17647058823529413)","(0.4666666666666667, 0.26666666666666666, 0.26666666666666666)","[[[5.0, 6.0], [8.0, 4.0], [2.0, 9.0]], [[4.0, 2.0], [6.0, 3.0], [8.0, 3.0]], [[5.0, 6.0], [4.0, 1.0], [8.0, 1.0]]]","[[[6.0, 5.0], [2.0, 4.0], [6.0, 5.0]], [[4.0, 8.0], [3.0, 6.0], [1.0, 4.0]], [[9.0, 2.0], [3.0, 8.0], [1.0, 8.0]]]",negative,treatment
3,"(0.11764705882352941, 0.23529411764705882, 0.6470588235294118)","(0.2, 0.13333333333333333, 0.6666666666666666)","[[[2.0, 9.0], [7.0, 2.0], [7.0, 8.0]], [[4.0, 5.0], [6.0, 3.0], [4.0, 5.0]], [[8.0, 1.0], [8.0, 3.0], [8.0, 2.0]]]","[[[9.0, 2.0], [5.0, 4.0], [1.0, 8.0]], [[2.0, 7.0], [3.0, 6.0], [3.0, 8.0]], [[8.0, 7.0], [5.0, 4.0], [2.0, 8.0]]]",negative,treatment
4,"(0.17647058823529413, 0.8235294117647058, 0.0)","(0.0, 0.8, 0.2)","[[[4.0, 9.0], [2.0, 9.0], [6.0, 0.0]], [[9.0, 4.0], [4.0, 8.0], [6.0, 3.0]], [[1.0, 7.0], [5.0, 6.0], [1.0, 8.0]]]","[[[9.0, 4.0], [4.0, 9.0], [7.0, 1.0]], [[9.0, 2.0], [8.0, 4.0], [6.0, 5.0]], [[0.0, 6.0], [3.0, 6.0], [8.0, 1.0]]]",negative,treatment
5,"(0.25, 0.5625, 0.1875)","(0.125, 0.625, 0.25)","[[[3.0, 6.0], [8.0, 1.0], [2.0, 8.0]], [[6.0, 3.0], [6.0, 6.0], [9.0, 0.0]], [[3.0, 3.0], [8.0, 6.0], [6.0, 5.0]]]","[[[6.0, 3.0], [3.0, 6.0], [3.0, 3.0]], [[1.0, 8.0], [6.0, 6.0], [6.0, 8.0]], [[8.0, 2.0], [0.0, 9.0], [5.0, 6.0]]]",negative,treatment
6,"(0.9375, 0.0625, 0.0)","(0.375, 0.0, 0.625)","[[[5.0, 5.0], [3.0, 2.0], [7.0, 3.0]], [[4.0, 5.0], [1.0, 7.0], [2.0, 6.0]], [[7.0, 4.0], [7.0, 2.0], [5.0, 3.0]]]","[[[5.0, 5.0], [5.0, 4.0], [4.0, 7.0]], [[2.0, 3.0], [7.0, 1.0], [2.0, 7.0]], [[3.0, 7.0], [6.0, 2.0], [3.0, 5.0]]]",negative,treatment
7,"(0.125, 0.0, 0.875)","(0.0625, 0.4375, 0.5)","[[[4.0, 4.0], [6.0, 3.0], [2.0, 9.0]], [[2.0, 7.0], [7.0, 0.0], [6.0, 6.0]], [[4.0, 4.0], [4.0, 5.0], [4.0, 4.0]]]","[[[4.0, 4.0], [7.0, 2.0], [4.0, 4.0]], [[3.0, 6.0], [0.0, 7.0], [5.0, 4.0]], [[9.0, 2.0], [6.0, 6.0], [4.0, 4.0]]]",negative,treatment
8,"(0.5, 0.125, 0.375)","(0.375, 0.625, 0.0)","[[[6.0, 3.0], [6.0, 3.0], [5.0, 1.0]], [[9.0, 2.0], [4.0, 7.0], [6.0, 5.0]], [[2.0, 8.0], [9.0, 0.0], [2.0, 9.0]]]","[[[3.0, 6.0], [2.0, 9.0], [8.0, 2.0]], [[3.0, 6.0], [7.0, 4.0], [0.0, 9.0]], [[1.0, 5.0], [5.0, 6.0], [9.0, 2.0]]]",negative,treatment
9,"(0.3125, 0.1875, 0.5)","(0.0, 1.0, 0.0)","[[[2.0, 8.0], [0.0, 8.0], [3.0, 6.0]], [[6.0, 4.0], [4.0, 7.0], [9.0, 5.0]], [[0.0, 8.0], [5.0, 1.0], [5.0, 4.0]]]","[[[8.0, 2.0], [4.0, 6.0], [8.0, 0.0]], [[8.0, 0.0], [7.0, 4.0], [1.0, 5.0]], [[6.0, 3.0], [5.0, 9.0], [4.0, 5.0]]]",negative,treatment
10,"(0.5625, 0.1875, 0.25)","(0.25, 0.0625, 0.6875)","[[[1.0, 9.0], [4.0, 4.0], [7.0, 4.0]], [[3.0, 7.0], [0.0, 9.0], [9.0, 2.0]], [[5.0, 3.0], [7.0, 1.0], [2.0, 8.0]]]","[[[9.0, 1.0], [7.0, 3.0], [3.0, 5.0]], [[4.0, 4.0], [9.0, 0.0], [1.0, 7.0]], [[4.0, 7.0], [2.0, 9.0], [8.0, 2.0]]]",negative,treatment
11,"(0.4117647058823529, 0.5882352941176471, 0.0)","(1.0, 0.0, 0.0)","[[[8.0, 7.0], [5.0, 7.0], [8.0, 1.0]], [[5.0, 6.0], [1.0, 7.0], [4.0, 3.0]], [[2.0, 4.0], [3.0, 5.0], [3.0, 4.0]]]","[[[7.0, 8.0], [6.0, 5.0], [4.0, 2.0]], [[7.0, 5.0], [7.0, 1.0], [5.0, 3.0]], [[1.0, 8.0], [3.0, 4.0], [4.0, 3.0]]]",negative,treatment
12,"(0.3125, 0.6875, 0.0)","(0.375, 0.125, 0.5)","[[[9.0, 0.0], [4.0, 5.0], [9.0, 3.0]], [[2.0, 6.0], [6.0, 4.0], [9.0, 0.0]], [[7.0, 7.0], [8.0, 2.0], [7.0, 0.0]]]","[[[0.0, 9.0], [6.0, 2.0], [7.0, 7.0]], [[5.0, 4.0], [4.0, 6.0], [2.0, 8.0]], [[3.0, 9.0], [0.0, 9.0], [0.0, 7.0]]]",negative,treatment
13,"(0.625, 0.125, 0.25)","(0.0, 1.0, 0.0)","[[[2.0, 8.0], [2.0, 8.0], [7.0, 2.0]], [[7.0, 6.0], [7.0, 3.0], [3.0, 9.0]], [[1.0, 9.0], [5.0, 5.0], [4.0, 7.0]]]","[[[8.0, 2.0], [6.0, 7.0], [9.0, 1.0]], [[8.0, 2.0], [3.0, 7.0], [5.0, 5.0]], [[2.0, 7.0], [9.0, 3.0], [7.0, 4.0]]]",negative,treatment
14,"(0.4375, 0.3125, 0.25)","(0.0625, 0.125, 0.8125)","[[[5.0, 4.0], [0.0, 8.0], [6.0, 1.0]], [[0.0, 6.0], [9.0, 1.0], [6.0, 2.0]], [[8.0, 2.0], [3.0, 7.0], [5.0, 4.0]]]","[[[4.0, 5.0], [6.0, 0.0], [2.0, 8.0]], [[8.0, 0.0], [1.0, 9.0], [7.0, 3.0]], [[1.0, 6.0], [2.0, 6.0], [4.0, 5.0]]]",negative,treatment
15,"(0.25, 0.375, 0.375)","(1.0, 0.0, 0.0)","[[[6.0, 7.0], [8.0, 6.0], [5.0, 8.0]], [[7.0, 5.0], [5.0, 8.0], [2.0, 4.0]], [[2.0, 7.0], [5.0, 7.0], [1.0, 5.0]]]","[[[7.0, 6.0], [5.0, 7.0], [7.0, 2.0]], [[6.0, 8.0], [8.0, 5.0], [7.0, 5.0]], [[8.0, 5.0], [4.0, 2.0], [5.0, 1.0]]]",negative,treatment
16,"(0.0, 0.0, 1.0)","(0.1875, 0.8125, 0.0)","[[[9.0, 1.0], [1.0, 6.0], [6.0, 6.0]], [[6.0, 3.0], [4.0, 4.0], [6.0, 8.0]], [[3.0, 4.0], [2.0, 6.0], [3.0, 7.0]]]","[[[1.0, 9.0], [3.0, 6.0], [4.0, 3.0]], [[6.0, 1.0], [4.0, 4.0], [6.0, 2.0]], [[6.0, 6.0], [8.0, 6.0], [7.0, 3.0]]]",negative,treatment
17,"(0.0, 0.4375, 0.5625)","(0.0625, 0.5625, 0.375)","[[[6.0, 0.0], [3.0, 8.0], [5.0, 2.0]], [[4.0, 6.0], [4.0, 5.0], [5.0, 9.0]], [[8.0, 3.0], [6.0, 3.0], [2.0, 7.0]]]","[[[0.0, 6.0], [6.0, 4.0], [3.0, 8.0]], [[8.0, 3.0], [5.0, 4.0], [3.0, 6.0]], [[2.0, 5.0], [9.0, 5.0], [7.0, 2.0]]]",negative,treatment
18,"(0.125, 0.3125, 0.5625)","(0.125, 0.1875, 0.6875)","[[[5.0, 5.0], [3.0, 7.0], [0.0, 7.0]], [[1.0, 6.0], [6.0, 5.0], [1.0, 5.0]], [[5.0, 5.0], [3.0, 4.0], [3.0, 9.0]]]","[[[5.0, 5.0], [6.0, 1.0], [5.0, 5.0]], [[7.0, 3.0], [5.0, 6.0], [4.0, 3.0]], [[7.0, 0.0], [5.0, 1.0], [9.0, 3.0]]]",negative,treatment
19,"(0.25, 0.0, 0.75)","(0.1875, 0.25, 0.5625)","[[[7.0, 1.0], [1.0, 6.0], [8.0, 6.0]], [[4.0, 5.0], [8.0, 1.0], [5.0, 5.0]], [[4.0, 5.0], [9.0, 2.0], [8.0, 3.0]]]","[[[1.0, 7.0], [5.0, 4.0], [5.0, 4.0]], [[6.0, 1.0], [1.0, 8.0], [2.0, 9.0]], [[6.0, 8.0], [5.0, 5.0], [3.0, 8.0]]]",negative,treatment
20,"(0.8125, 0.0625, 0.125)","(0.0, 0.1875, 0.8125)","[[[1.0, 6.0], [6.0, 3.0], [3.0, 6.0]], [[4.0, 5.0], [4.0, 6.0], [6.0, 5.0]], [[9.0, 7.0], [7.0, 0.0], [8.0, 2.0]]]","[[[6.0, 1.0], [5.0, 4.0], [7.0, 9.0]], [[3.0, 6.0], [6.0, 4.0], [0.0, 7.0]], [[6.0, 3.0], [5.0, 6.0], [2.0, 8.0]]]",negative,treatment
21,"(0.8125, 0.125, 0.0625)","(0.0625, 0.375, 0.5625)","[[[4.0, 9.0], [2.0, 9.0], [5.0, 6.0]], [[7.0, 5.0], [6.0, 5.0], [1.0, 7.0]], [[4.0, 6.0], [9.0, 1.0], [3.0, 3.0]]]","[[[9.0, 4.0], [5.0, 7.0], [6.0, 4.0]], [[9.0, 2.0], [5.0, 6.0], [1.0, 9.0]], [[6.0, 5.0], [7.0, 1.0], [3.0, 3.0]]]",negative,treatment
22,"(0.3125, 0.6875, 0.0)","(0.625, 0.3125, 0.0625)","[[[7.0, 5.0], [6.0, 4.0], [7.0, 4.0]], [[9.0, 1.0], [3.0, 6.0], [9.0, 1.0]], [[8.0, 2.0], [3.0, 6.0], [2.0, 5.0]]]","[[[5.0, 7.0], [1.0, 9.0], [2.0, 8.0]], [[4.0, 6.0], [6.0, 3.0], [6.0, 3.0]], [[4.0, 7.0], [1.0, 9.0], [5.0, 2.0]]]",negative,treatment
23,"(0.125, 0.5625, 0.3125)","(0.4375, 0.125, 0.4375)","[[[9.0, 1.0], [1.0, 6.0], [3.0, 6.0]], [[8.0, 2.0], [1.0, 9.0], [1.0, 9.0]], [[7.0, 3.0], [4.0, 8.0], [1.0, 8.0]]]","[[[1.0, 9.0], [2.0, 8.0], [3.0, 7.0]], [[6.0, 1.0], [9.0, 1.0], [8.0, 4.0]], [[6.0, 3.0], [9.0, 1.0], [8.0, 1.0]]]",negative,treatment
24,"(0.75, 0.125, 0.125)","(0.8125, 0.0625, 0.125)","[[[8.0, 3.0], [8.0, 2.0], [7.0, 2.0]], [[6.0, 5.0], [4.0, 6.0], [6.0, 4.0]], [[8.0, 6.0], [8.0, 2.0], [1.0, 6.0]]]","[[[3.0, 8.0], [5.0, 6.0], [6.0, 8.0]], [[2.0, 8.0], [6.0, 4.0], [2.0, 8.0]], [[2.0, 7.0], [4.0, 6.0], [6.0, 1.0]]]",negative,treatment
25,"(0.875, 0.0, 0.125)","(0.1875, 0.75, 0.0625)","[[[4.0, 8.0], [7.0, 4.0], [9.0, 3.0]], [[6.0, 8.0], [7.0, 0.0], [6.0, 5.0]], [[2.0, 9.0], [4.0, 3.0], [3.0, 6.0]]]","[[[8.0, 4.0], [8.0, 6.0], [9.0, 2.0]], [[4.0, 7.0], [0.0, 7.0], [3.0, 4.0]], [[3.0, 9.0], [5.0, 6.0], [6.0, 3.0]]]",negative,treatment
26,"(0.0, 0.1875, 0.8125)","(0.0, 0.8125, 0.1875)","[[[8.0, 0.0], [8.0, 5.0], [2.0, 9.0]], [[8.0, 2.0], [7.0, 3.0], [5.0, 5.0]], [[6.0, 2.0], [2.0, 6.0], [5.0, 6.0]]]","[[[0.0, 8.0], [2.0, 8.0], [2.0, 6.0]], [[5.0, 8.0], [3.0, 7.0], [6.0, 2.0]], [[9.0, 2.0], [5.0, 5.0], [6.0, 5.0]]]",negative,treatment
27,"(0.0, 0.0625, 0.9375)","(0.8125, 0.0, 0.1875)","[[[7.0, 3.0], [7.0, 5.0], [6.0, 7.0]], [[7.0, 0.0], [9.0, 2.0], [1.0, 8.0]], [[8.0, 2.0], [6.0, 3.0], [5.0, 6.0]]]","[[[3.0, 7.0], [0.0, 7.0], [2.0, 8.0]], [[5.0, 7.0], [2.0, 9.0], [3.0, 6.0]], [[7.0, 6.0], [8.0, 1.0], [6.0, 5.0]]]",negative,treatment
