round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.625, 0.3125, 0.0625)","(0.4117647058823529, 0.5882352941176471, 0.0)","[[[1.0, 9.0], [8.0, 5.0], [4.0, 3.0]], [[3.0, 7.0], [5.0, 4.0], [6.0, 1.0]], [[3.0, 7.0], [2.0, 8.0], [5.0, 6.0]]]","[[[9.0, 1.0], [7.0, 3.0], [7.0, 3.0]], [[5.0, 8.0], [4.0, 5.0], [8.0, 2.0]], [[3.0, 4.0], [1.0, 6.0], [6.0, 5.0]]]",negative,treatment
2,"(0.29411764705882354, 0.5882352941176471, 0.11764705882352941)","(0.0625, 0.0, 0.9375)","[[[7.0, 3.0], [3.0, 9.0], [8.0, 3.0]], [[0.0, 5.0], [4.0, 8.0], [6.0, 4.0]], [[9.0, 5.0], [7.0, 1.0], [6.0, 5.0]]]","[[[3.0, 7.0], [5.0, 0.0], [5.0, 9.0]], [[9.0, 3.0], [8.0, 4.0], [1.0, 7.0]], [[3.0, 8.0], [4.0, 6.0], [5.0, 6.0]]]",negative,treatment
3,"(0.1111111111111111, 0.3888888888888889, 0.5)","(0.3333333333333333, 0.6666666666666666, 0.0)","[[[5.0, 5.0], [8.0, 7.0], [3.0, 4.0]], [[7.0, 4.0], [5.0, 6.0], [5.0, 5.0]], [[4.0, 2.0], [8.0, 1.0], [0.0, 8.0]]]","[[[5.0, 5.0], [4.0, 7.0], [2.0, 4.0]], [[7.0, 8.0], [6.0, 5.0], [1.0, 8.0]], [[4.0, 3.0], [5.0, 5.0], [8.0, 0.0]]]",negative,treatment
4,"(0.5294117647058824, 0.47058823529411764, 0.0)","(0.8125, 0.1875, 0.0)","[[[8.0, 6.0], [9.0, 1.0], [9.0, 0.0]], [[7.0, 4.0], [6.0, 4.0], [8.0, 3.0]], [[8.0, 0.0], [4.0, 8.0], [3.0, 7.0]]]","[[[6.0, 8.0], [4.0, 7.0], [0.0, 8.0]], [[1.0, 9.0], [4.0, 6.0], [8.0, 4.0]], [[0.0, 9.0], [3.0, 8.0], [7.0, 3.0]]]",negative,treatment
5,"(0.058823529411764705, 0.6470588235294118, 0.29411764705882354)","(0.0, 0.875, 0.125)","[[[5.0, 8.0], [7.0, 4.0], [0.0, 9.0]], [[5.0, 1.0], [6.0, 4.0], [6.0, 1.0]], [[6.0, 1.0], [5.0, 8.0], [3.0, 9.0]]]","[[[8.0, 5.0], [1.0, 5.0], [1.0, 6.0]], [[4.0, 7.0], [4.0, 6.0], [8.0, 5.0]], [[9.0, 0.0], [1.0, 6.0], [9.0, 3.0]]]",negative,treatment
6,"(0.17647058823529413, 0.35294117647058826, 0.47058823529411764)","(0.375, 0.0, 0.625)","[[[5.0, 7.0], [7.0, 3.0], [5.0, 5.0]], [[2.0, 4.0], [8.0, 3.0], [0.0, 7.0]], [[9.0, 1.0], [4.0, 5.0], [9.0, 2.0]]]","[[[7.0, 5.0], [4.0, 2.0], [1.0, 9.0]], [[3.0, 7.0], [3.0, 8.0], [5.0, 4.0]], [[5.0, 5.0], [7.0, 0.0], [2.0, 9.0]]]",negative,treatment
7,"(0.6875, 0.1875, 0.125)","(0.35294117647058826, 0.058823529411764705, 0.5882352941176471)","[[[3.0, 5.0], [5.0, 5.0], [4.0, 7.0]], [[2.0, 8.0], [0.0, 9.0], [7.0, 2.0]], [[4.0, 8.0], [7.0, 1.0], [3.0, 8.0]]]","[[[5.0, 3.0], [8.0, 2.0], [8.0, 4.0]], [[5.0, 5.0], [9.0, 0.0], [1.0, 7.0]], [[7.0, 4.0], [2.0, 7.0], [8.0, 3.0]]]",negative,treatment
8,"(0.8823529411764706, 0.0, 0.11764705882352941)","(0.9375, 0.0625, 0.0)","[[[6.0, 6.0], [4.0, 1.0], [9.0, 1.0]], [[1.0, 9.0], [5.0, 6.0], [7.0, 4.0]], [[3.0, 6.0], [5.0, 8.0], [6.0, 3.0]]]","[[[6.0, 6.0], [9.0, 1.0], [6.0, 3.0]], [[1.0, 4.0], [6.0, 5.0], [8.0, 5.0]], [[1.0, 9.0], [4.0, 7.0], [3.0, 6.0]]]",negative,treatment
9,"(0.058823529411764705, 0.9411764705882353, 0.0)","(0.6875, 0.125, 0.1875)","[[[8.0, 3.0], [4.0, 8.0], [4.0, 8.0]], [[7.0, 2.0], [1.0, 4.0], [8.0, 0.0]], [[9.0, 3.0], [2.0, 8.0], [3.0, 4.0]]]","[[[3.0, 8.0], [2.0, 7.0], [3.0, 9.0]], [[8.0, 4.0], [4.0, 1.0], [8.0, 2.0]], [[8.0, 4.0], [0.0, 8.0], [4.0, 3.0]]]",negative,treatment
10,"(0.4375, 0.0, 0.5625)","(0.058823529411764705, 0.7647058823529411, 0.17647058823529413)","[[[5.0, 5.0], [0.0, 9.0], [2.0, 9.0]], [[4.0, 9.0], [4.0, 5.0], [3.0, 8.0]], [[1.0, 6.0], [4.0, 3.0], [6.0, 7.0]]]","[[[5.0, 5.0], [9.0, 4.0], [6.0, 1.0]], [[9.0, 0.0], [5.0, 4.0], [3.0, 4.0]], [[9.0, 2.0], [8.0, 3.0], [7.0, 6.0]]]",negative,treatment
11,"(0.7222222222222222, 0.2222222222222222, 0.05555555555555555)","(0.2, 0.2, 0.6)","[[[9.0, 6.0], [5.0, 6.0], [5.0, 4.0]], [[6.0, 0.0], [9.0, 1.0], [8.0, 0.0]], [[9.0, 6.0], [7.0, 2.0], [7.0, 6.0]]]","[[[6.0, 9.0], [0.0, 6.0], [6.0, 9.0]], [[6.0, 5.0], [1.0, 9.0], [2.0, 7.0]], [[4.0, 5.0], [0.0, 8.0], [6.0, 7.0]]]",negative,treatment
12,"(0.5294117647058824, 0.11764705882352941, 0.35294117647058826)","(0.875, 0.0, 0.125)","[[[7.0, 6.0], [6.0, 3.0], [5.0, 7.0]], [[5.0, 5.0], [5.0, 4.0], [3.0, 8.0]], [[5.0, 6.0], [0.0, 9.0], [7.0, 0.0]]]","[[[6.0, 7.0], [5.0, 5.0], [6.0, 5.0]], [[3.0, 6.0], [4.0, 5.0], [9.0, 0.0]], [[7.0, 5.0], [8.0, 3.0], [0.0, 7.0]]]",negative,treatment
