round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.375, 0.5625, 0.0625)","(0.9285714285714286, 0.0, 0.07142857142857142)","[[[8.0, 8.0], [4.0, 3.0], [1.0, 0.0]], [[6.0, 9.0], [7.0, 5.0], [4.0, 4.0]], [[7.0, 9.0], [1.0, 3.0], [3.0, 4.0]]]","[[[8.0, 8.0], [9.0, 6.0], [9.0, 7.0]], [[3.0, 4.0], [5.0, 7.0], [3.0, 1.0]], [[0.0, 1.0], [4.0, 4.0], [4.0, 3.0]]]",positive,treatment
2,"(0.26666666666666666, 0.6666666666666666, 0.06666666666666667)","(0.0, 1.0, 0.0)","[[[6.0, 2.0], [7.0, 9.0], [6.0, 7.0]], [[6.0, 5.0], [9.0, 8.0], [4.0, 3.0]], [[2.0, 1.0], [7.0, 5.0], [4.0, 1.0]]]","[[[2.0, 6.0], [5.0, 6.0], [1.0, 2.0]], [[9.0, 7.0], [8.0, 9.0], [5.0, 7.0]], [[7.0, 6.0], [3.0, 4.0], [1.0, 4.0]]]",positive,treatment
3,"(0.2, 0.4, 0.4)","(0.3333333333333333, 0.6666666666666666, 0.0)","[[[6.0, 6.0], [2.0, 3.0], [4.0, 4.0]], [[5.0, 6.0], [5.0, 6.0], [3.0, 4.0]], [[2.0, 4.0], [8.0, 8.0], [5.0, 2.0]]]","[[[6.0, 6.0], [6.0, 5.0], [4.0, 2.0]], [[3.0, 2.0], [6.0, 5.0], [8.0, 8.0]], [[4.0, 4.0], [4.0, 3.0], [2.0, 5.0]]]",positive,treatment
4,"(0.8, 0.2, 0.0)","(0.7333333333333333, 0.2, 0.06666666666666667)","[[[8.0, 7.0], [3.0, 4.0], [7.0, 7.0]], [[6.0, 7.0], [8.0, 4.0], [1.0, 3.0]], [[2.0, 6.0], [5.0, 9.0], [5.0, 4.0]]]","[[[7.0, 8.0], [7.0, 6.0], [6.0, 2.0]], [[4.0, 3.0], [4.0, 8.0], [9.0, 5.0]], [[7.0, 7.0], [3.0, 1.0], [4.0, 5.0]]]",positive,treatment
5,"(0.13333333333333333, 0.0, 0.8666666666666667)","(0.9333333333333333, 0.0, 0.06666666666666667)","[[[9.0, 8.0], [2.0, 3.0], [4.0, 2.0]], [[3.0, 2.0], [3.0, 0.0], [1.0, 0.0]], [[9.0, 9.0], [5.0, 4.0], [4.0, 6.0]]]","[[[8.0, 9.0], [2.0, 3.0], [9.0, 9.0]], [[3.0, 2.0], [0.0, 3.0], [4.0, 5.0]], [[2.0, 4.0], [0.0, 1.0], [6.0, 4.0]]]",positive,treatment
6,"(0.0, 0.0, 1.0)","(0.13333333333333333, 0.5333333333333333, 0.3333333333333333)","[[[5.0, 7.0], [5.0, 4.0], [5.0, 4.0]], [[4.0, 6.0], [1.0, 3.0], [5.0, 6.0]], [[5.0, 5.0], [9.0, 9.0], [7.0, 8.0]]]","[[[7.0, 5.0], [6.0, 4.0], [5.0, 5.0]], [[4.0, 5.0], [3.0, 1.0], [9.0, 9.0]], [[4.0, 5.0], [6.0, 5.0], [8.0, 7.0]]]",positive,treatment
7,"(0.0, 0.06666666666666667, 0.9333333333333333)","(0.0, 1.0, 0.0)","[[[2.0, 2.0], [6.0, 3.0], [1.0, 6.0]], [[0.0, 0.0], [6.0, 9.0], [4.0, 5.0]], [[3.0, 3.0], [9.0, 8.0], [9.0, 4.0]]]","[[[2.0, 2.0], [0.0, 0.0], [3.0, 3.0]], [[3.0, 6.0], [9.0, 6.0], [8.0, 9.0]], [[6.0, 1.0], [5.0, 4.0], [4.0, 9.0]]]",positive,treatment
8,"(0.13333333333333333, 0.0, 0.8666666666666667)","(0.8, 0.13333333333333333, 0.06666666666666667)","[[[7.0, 6.0], [8.0, 6.0], [0.0, 0.0]], [[1.0, 4.0], [6.0, 3.0], [5.0, 7.0]], [[9.0, 7.0], [6.0, 6.0], [2.0, 3.0]]]","[[[6.0, 7.0], [4.0, 1.0], [7.0, 9.0]], [[6.0, 8.0], [3.0, 6.0], [6.0, 6.0]], [[0.0, 0.0], [7.0, 5.0], [3.0, 2.0]]]",positive,treatment
9,"(0.0, 0.0, 1.0)","(1.0, 0.0, 0.0)","[[[3.0, 5.0], [3.0, 0.0], [3.0, 2.0]], [[3.0, 6.0], [4.0, 6.0], [4.0, 5.0]], [[9.0, 7.0], [6.0, 3.0], [3.0, 2.0]]]","[[[5.0, 3.0], [6.0, 3.0], [7.0, 9.0]], [[0.0, 3.0], [6.0, 4.0], [3.0, 6.0]], [[2.0, 3.0], [5.0, 4.0], [2.0, 3.0]]]",positive,treatment
10,"(0.0, 0.7333333333333333, 0.26666666666666666)","(0.3333333333333333, 0.4, 0.26666666666666666)","[[[6.0, 5.0], [6.0, 2.0], [2.0, 5.0]], [[7.0, 7.0], [5.0, 4.0], [9.0, 9.0]], [[6.0, 8.0], [8.0, 9.0], [4.0, 1.0]]]","[[[5.0, 6.0], [7.0, 7.0], [8.0, 6.0]], [[2.0, 6.0], [4.0, 5.0], [9.0, 8.0]], [[5.0, 2.0], [9.0, 9.0], [1.0, 4.0]]]",positive,treatment
