round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.0625, 0.9375, 0.0)","(0.14285714285714285, 0.14285714285714285, 0.7142857142857143)","[[[2.0, 3.0], [7.0, 7.0], [4.0, 2.0]], [[3.0, 5.0], [2.0, 5.0], [4.0, 3.0]], [[9.0, 5.0], [6.0, 9.0], [2.0, 1.0]]]","[[[3.0, 2.0], [5.0, 3.0], [5.0, 9.0]], [[7.0, 7.0], [5.0, 2.0], [9.0, 6.0]], [[2.0, 4.0], [3.0, 4.0], [1.0, 2.0]]]",positive,treatment
2,"(0.6875, 0.0, 0.3125)","(0.9285714285714286, 0.07142857142857142, 0.0)","[[[9.0, 9.0], [4.0, 5.0], [3.0, 8.0]], [[6.0, 5.0], [3.0, 5.0], [3.0, 4.0]], [[0.0, 0.0], [3.0, 2.0], [6.0, 4.0]]]","[[[9.0, 9.0], [5.0, 6.0], [0.0, 0.0]], [[5.0, 4.0], [5.0, 3.0], [2.0, 3.0]], [[8.0, 3.0], [4.0, 3.0], [4.0, 6.0]]]",positive,treatment
3,"(0.0625, 0.6875, 0.25)","(0.0, 0.5, 0.5)","[[[2.0, 1.0], [7.0, 1.0], [2.0, 4.0]], [[4.0, 2.0], [4.0, 5.0], [2.0, 4.0]], [[1.0, 2.0], [6.0, 8.0], [5.0, 2.0]]]","[[[1.0, 2.0], [2.0, 4.0], [2.0, 1.0]], [[1.0, 7.0], [5.0, 4.0], [8.0, 6.0]], [[4.0, 2.0], [4.0, 2.0], [2.0, 5.0]]]",positive,treatment
4,"(0.26666666666666666, 0.4, 0.3333333333333333)","(0.13333333333333333, 0.8666666666666667, 0.0)","[[[8.0, 7.0], [4.0, 4.0], [8.0, 5.0]], [[9.0, 6.0], [8.0, 8.0], [5.0, 5.0]], [[3.0, 4.0], [2.0, 3.0], [9.0, 7.0]]]","[[[7.0, 8.0], [6.0, 9.0], [4.0, 3.0]], [[4.0, 4.0], [8.0, 8.0], [3.0, 2.0]], [[5.0, 8.0], [5.0, 5.0], [7.0, 9.0]]]",positive,treatment
5,"(0.8, 0.0, 0.2)","(0.9333333333333333, 0.06666666666666667, 0.0)","[[[9.0, 9.0], [6.0, 1.0], [7.0, 8.0]], [[9.0, 4.0], [2.0, 1.0], [2.0, 8.0]], [[4.0, 6.0], [2.0, 1.0], [0.0, 1.0]]]","[[[9.0, 9.0], [4.0, 9.0], [6.0, 4.0]], [[1.0, 6.0], [1.0, 2.0], [1.0, 2.0]], [[8.0, 7.0], [8.0, 2.0], [1.0, 0.0]]]",positive,treatment
6,"(0.6875, 0.1875, 0.125)","(0.9285714285714286, 0.0, 0.07142857142857142)","[[[9.0, 7.0], [7.0, 6.0], [7.0, 7.0]], [[4.0, 1.0], [3.0, 0.0], [2.0, 3.0]], [[7.0, 7.0], [5.0, 8.0], [0.0, 1.0]]]","[[[7.0, 9.0], [1.0, 4.0], [7.0, 7.0]], [[6.0, 7.0], [0.0, 3.0], [8.0, 5.0]], [[7.0, 7.0], [3.0, 2.0], [1.0, 0.0]]]",positive,treatment
7,"(0.6, 0.4, 0.0)","(0.13333333333333333, 0.13333333333333333, 0.7333333333333333)","[[[2.0, 4.0], [4.0, 5.0], [4.0, 3.0]], [[6.0, 6.0], [0.0, 1.0], [3.0, 3.0]], [[3.0, 6.0], [9.0, 8.0], [1.0, 1.0]]]","[[[4.0, 2.0], [6.0, 6.0], [6.0, 3.0]], [[5.0, 4.0], [1.0, 0.0], [8.0, 9.0]], [[3.0, 4.0], [3.0, 3.0], [1.0, 1.0]]]",positive,treatment
8,"(0.06666666666666667, 0.0, 0.9333333333333333)","(0.06666666666666667, 0.8666666666666667, 0.06666666666666667)","[[[2.0, 4.0], [6.0, 6.0], [6.0, 5.0]], [[8.0, 8.0], [4.0, 3.0], [9.0, 8.0]], [[2.0, 4.0], [2.0, 4.0], [9.0, 8.0]]]","[[[4.0, 2.0], [8.0, 8.0], [4.0, 2.0]], [[6.0, 6.0], [3.0, 4.0], [4.0, 2.0]], [[5.0, 6.0], [8.0, 9.0], [8.0, 9.0]]]",positive,treatment
9,"(0.7333333333333333, 0.26666666666666666, 0.0)","(0.4, 0.6, 0.0)","[[[9.0, 7.0], [1.0, 4.0], [7.0, 7.0]], [[6.0, 8.0], [7.0, 9.0], [3.0, 3.0]], [[2.0, 8.0], [1.0, 2.0], [9.0, 4.0]]]","[[[7.0, 9.0], [8.0, 6.0], [8.0, 2.0]], [[4.0, 1.0], [9.0, 7.0], [2.0, 1.0]], [[7.0, 7.0], [3.0, 3.0], [4.0, 9.0]]]",positive,treatment
10,"(0.4666666666666667, 0.3333333333333333, 0.2)","(0.0, 0.9333333333333333, 0.06666666666666667)","[[[3.0, 5.0], [1.0, 1.0], [3.0, 2.0]], [[7.0, 5.0], [6.0, 9.0], [8.0, 8.0]], [[6.0, 7.0], [4.0, 5.0], [2.0, 0.0]]]","[[[5.0, 3.0], [5.0, 7.0], [7.0, 6.0]], [[1.0, 1.0], [9.0, 6.0], [5.0, 4.0]], [[2.0, 3.0], [8.0, 8.0], [0.0, 2.0]]]",positive,treatment
