round,col_play,row_play,row_game,col_game,treatment,type
1,"(0.8461538461538461, 0.0, 0.15384615384615385)","(0.4117647058823529, 0.11764705882352941, 0.47058823529411764)","[[[6.0, 2.0], [4.0, 2.0], [5.0, 5.0]], [[4.0, 5.0], [3.0, 1.0], [4.0, 3.0]], [[7.0, 9.0], [5.0, 4.0], [2.0, 2.0]]]","[[[2.0, 6.0], [5.0, 4.0], [9.0, 7.0]], [[2.0, 4.0], [1.0, 3.0], [4.0, 5.0]], [[5.0, 5.0], [3.0, 4.0], [2.0, 2.0]]]",positive,treatment
2,"(0.5333333333333333, 0.13333333333333333, 0.3333333333333333)","(0.06666666666666667, 0.8666666666666667, 0.06666666666666667)","[[[8.0, 5.0], [1.0, 1.0], [2.0, 6.0]], [[8.0, 7.0], [6.0, 5.0], [7.0, 7.0]], [[0.0, 4.0], [6.0, 5.0], [2.0, 1.0]]]","[[[5.0, 8.0], [7.0, 8.0], [4.0, 0.0]], [[1.0, 1.0], [5.0, 6.0], [5.0, 6.0]], [[6.0, 2.0], [7.0, 7.0], [1.0, 2.0]]]",positive,treatment
3,"(0.26666666666666666, 0.4, 0.3333333333333333)","(0.7333333333333333, 0.26666666666666666, 0.0)","[[[6.0, 8.0], [8.0, 7.0], [0.0, 1.0]], [[0.0, 3.0], [4.0, 4.0], [9.0, 8.0]], [[0.0, 2.0], [3.0, 1.0], [1.0, 3.0]]]","[[[8.0, 6.0], [3.0, 0.0], [2.0, 0.0]], [[7.0, 8.0], [4.0, 4.0], [1.0, 3.0]], [[1.0, 0.0], [8.0, 9.0], [3.0, 1.0]]]",positive,treatment
4,"(1.0, 0.0, 0.0)","(0.06666666666666667, 0.3333333333333333, 0.6)","[[[6.0, 8.0], [0.0, 0.0], [6.0, 5.0]], [[7.0, 6.0], [6.0, 6.0], [0.0, 1.0]], [[4.0, 6.0], [6.0, 8.0], [8.0, 4.0]]]","[[[8.0, 6.0], [6.0, 7.0], [6.0, 4.0]], [[0.0, 0.0], [6.0, 6.0], [8.0, 6.0]], [[5.0, 6.0], [1.0, 0.0], [4.0, 8.0]]]",positive,treatment
5,"(0.3333333333333333, 0.2, 0.4666666666666667)","(0.0, 0.4666666666666667, 0.5333333333333333)","[[[2.0, 2.0], [5.0, 3.0], [7.0, 4.0]], [[7.0, 4.0], [2.0, 3.0], [8.0, 5.0]], [[5.0, 5.0], [5.0, 5.0], [5.0, 1.0]]]","[[[2.0, 2.0], [4.0, 7.0], [5.0, 5.0]], [[3.0, 5.0], [3.0, 2.0], [5.0, 5.0]], [[4.0, 7.0], [5.0, 8.0], [1.0, 5.0]]]",positive,treatment
6,"(0.06666666666666667, 0.13333333333333333, 0.8)","(0.5333333333333333, 0.0, 0.4666666666666667)","[[[6.0, 4.0], [7.0, 4.0], [2.0, 4.0]], [[2.0, 5.0], [4.0, 2.0], [3.0, 5.0]], [[2.0, 1.0], [3.0, 0.0], [6.0, 5.0]]]","[[[4.0, 6.0], [5.0, 2.0], [1.0, 2.0]], [[4.0, 7.0], [2.0, 4.0], [0.0, 3.0]], [[4.0, 2.0], [5.0, 3.0], [5.0, 6.0]]]",positive,treatment
7,"(0.2, 0.26666666666666666, 0.5333333333333333)","(0.6, 0.06666666666666667, 0.3333333333333333)","[[[7.0, 7.0], [8.0, 3.0], [4.0, 7.0]], [[2.0, 2.0], [4.0, 3.0], [5.0, 4.0]], [[1.0, 0.0], [8.0, 7.0], [5.0, 4.0]]]","[[[7.0, 7.0], [2.0, 2.0], [0.0, 1.0]], [[3.0, 8.0], [3.0, 4.0], [7.0, 8.0]], [[7.0, 4.0], [4.0, 5.0], [4.0, 5.0]]]",positive,treatment
8,"(0.4, 0.2, 0.4)","(0.0, 0.6666666666666666, 0.3333333333333333)","[[[4.0, 3.0], [2.0, 3.0], [0.0, 0.0]], [[7.0, 6.0], [3.0, 8.0], [7.0, 7.0]], [[6.0, 4.0], [1.0, 1.0], [6.0, 6.0]]]","[[[3.0, 4.0], [6.0, 7.0], [4.0, 6.0]], [[3.0, 2.0], [8.0, 3.0], [1.0, 1.0]], [[0.0, 0.0], [7.0, 7.0], [6.0, 6.0]]]",positive,treatment
9,"(0.26666666666666666, 0.26666666666666666, 0.4666666666666667)","(0.06666666666666667, 0.3333333333333333, 0.6)","[[[7.0, 3.0], [6.0, 3.0], [2.0, 4.0]], [[1.0, 4.0], [2.0, 5.0], [9.0, 7.0]], [[9.0, 6.0], [5.0, 5.0], [4.0, 1.0]]]","[[[3.0, 7.0], [4.0, 1.0], [6.0, 9.0]], [[3.0, 6.0], [5.0, 2.0], [5.0, 5.0]], [[4.0, 2.0], [7.0, 9.0], [1.0, 4.0]]]",positive,treatment
10,"(0.0, 0.4666666666666667, 0.5333333333333333)","(0.4, 0.4, 0.2)","[[[1.0, 3.0], [5.0, 2.0], [7.0, 9.0]], [[4.0, 4.0], [7.0, 8.0], [5.0, 6.0]], [[7.0, 6.0], [4.0, 8.0], [5.0, 2.0]]]","[[[3.0, 1.0], [4.0, 4.0], [6.0, 7.0]], [[2.0, 5.0], [8.0, 7.0], [8.0, 4.0]], [[9.0, 7.0], [6.0, 5.0], [2.0, 5.0]]]",positive,treatment
11,"(0.0, 0.0, 1.0)","(0.6, 0.4, 0.0)","[[[2.0, 2.0], [1.0, 3.0], [9.0, 8.0]], [[7.0, 7.0], [2.0, 4.0], [4.0, 6.0]], [[4.0, 3.0], [3.0, 1.0], [2.0, 2.0]]]","[[[2.0, 2.0], [7.0, 7.0], [3.0, 4.0]], [[3.0, 1.0], [4.0, 2.0], [1.0, 3.0]], [[8.0, 9.0], [6.0, 4.0], [2.0, 2.0]]]",positive,treatment
12,"(0.4, 0.5333333333333333, 0.06666666666666667)","(0.8, 0.2, 0.0)","[[[7.0, 9.0], [7.0, 4.0], [3.0, 7.0]], [[0.0, 0.0], [8.0, 8.0], [3.0, 3.0]], [[5.0, 2.0], [0.0, 2.0], [0.0, 0.0]]]","[[[9.0, 7.0], [0.0, 0.0], [2.0, 5.0]], [[4.0, 7.0], [8.0, 8.0], [2.0, 0.0]], [[7.0, 3.0], [3.0, 3.0], [0.0, 0.0]]]",positive,treatment
13,"(0.5625, 0.0, 0.4375)","(0.07142857142857142, 0.7142857142857143, 0.21428571428571427)","[[[3.0, 9.0], [2.0, 6.0], [4.0, 0.0]], [[3.0, 1.0], [5.0, 3.0], [8.0, 6.0]], [[5.0, 6.0], [1.0, 0.0], [8.0, 5.0]]]","[[[9.0, 3.0], [1.0, 3.0], [6.0, 5.0]], [[6.0, 2.0], [3.0, 5.0], [0.0, 1.0]], [[0.0, 4.0], [6.0, 8.0], [5.0, 8.0]]]",positive,treatment
14,"(0.0, 0.0, 1.0)","(0.9333333333333333, 0.0, 0.06666666666666667)","[[[4.0, 3.0], [9.0, 6.0], [9.0, 9.0]], [[0.0, 1.0], [4.0, 5.0], [7.0, 9.0]], [[9.0, 7.0], [2.0, 1.0], [7.0, 3.0]]]","[[[3.0, 4.0], [1.0, 0.0], [7.0, 9.0]], [[6.0, 9.0], [5.0, 4.0], [1.0, 2.0]], [[9.0, 9.0], [9.0, 7.0], [3.0, 7.0]]]",positive,treatment
15,"(0.0, 0.6, 0.4)","(0.7333333333333333, 0.0, 0.26666666666666666)","[[[2.0, 1.0], [9.0, 8.0], [5.0, 9.0]], [[4.0, 5.0], [1.0, 2.0], [2.0, 3.0]], [[6.0, 4.0], [2.0, 3.0], [8.0, 4.0]]]","[[[1.0, 2.0], [5.0, 4.0], [4.0, 6.0]], [[8.0, 9.0], [2.0, 1.0], [3.0, 2.0]], [[9.0, 5.0], [3.0, 2.0], [4.0, 8.0]]]",positive,treatment
16,"(0.26666666666666666, 0.7333333333333333, 0.0)","(0.9333333333333333, 0.0, 0.06666666666666667)","[[[7.0, 6.0], [9.0, 7.0], [0.0, 1.0]], [[0.0, 2.0], [3.0, 1.0], [1.0, 1.0]], [[6.0, 7.0], [0.0, 3.0], [3.0, 5.0]]]","[[[6.0, 7.0], [2.0, 0.0], [7.0, 6.0]], [[7.0, 9.0], [1.0, 3.0], [3.0, 0.0]], [[1.0, 0.0], [1.0, 1.0], [5.0, 3.0]]]",positive,treatment
17,"(0.8666666666666667, 0.06666666666666667, 0.06666666666666667)","(0.5333333333333333, 0.4666666666666667, 0.0)","[[[6.0, 8.0], [9.0, 6.0], [5.0, 8.0]], [[7.0, 7.0], [4.0, 3.0], [4.0, 5.0]], [[4.0, 8.0], [0.0, 1.0], [8.0, 4.0]]]","[[[8.0, 6.0], [7.0, 7.0], [8.0, 4.0]], [[6.0, 9.0], [3.0, 4.0], [1.0, 0.0]], [[8.0, 5.0], [5.0, 4.0], [4.0, 8.0]]]",positive,treatment
18,"(0.0, 0.3333333333333333, 0.6666666666666666)","(0.0, 0.7333333333333333, 0.26666666666666666)","[[[7.0, 3.0], [3.0, 5.0], [3.0, 6.0]], [[3.0, 4.0], [2.0, 2.0], [9.0, 9.0]], [[6.0, 6.0], [6.0, 8.0], [3.0, 2.0]]]","[[[3.0, 7.0], [4.0, 3.0], [6.0, 6.0]], [[5.0, 3.0], [2.0, 2.0], [8.0, 6.0]], [[6.0, 3.0], [9.0, 9.0], [2.0, 3.0]]]",positive,treatment
19,"(1.0, 0.0, 0.0)","(0.06666666666666667, 0.8, 0.13333333333333333)","[[[6.0, 4.0], [2.0, 0.0], [3.0, 3.0]], [[7.0, 7.0], [3.0, 0.0], [3.0, 3.0]], [[4.0, 7.0], [2.0, 1.0], [6.0, 6.0]]]","[[[4.0, 6.0], [7.0, 7.0], [7.0, 4.0]], [[0.0, 2.0], [0.0, 3.0], [1.0, 2.0]], [[3.0, 3.0], [3.0, 3.0], [6.0, 6.0]]]",positive,treatment
20,"(0.6666666666666666, 0.06666666666666667, 0.26666666666666666)","(0.13333333333333333, 0.5333333333333333, 0.3333333333333333)","[[[3.0, 6.0], [2.0, 1.0], [5.0, 7.0]], [[6.0, 7.0], [0.0, 4.0], [2.0, 4.0]], [[1.0, 2.0], [6.0, 6.0], [4.0, 6.0]]]","[[[6.0, 3.0], [7.0, 6.0], [2.0, 1.0]], [[1.0, 2.0], [4.0, 0.0], [6.0, 6.0]], [[7.0, 5.0], [4.0, 2.0], [6.0, 4.0]]]",positive,treatment
21,"(0.4, 0.0, 0.6)","(0.0, 0.0, 1.0)","[[[5.0, 4.0], [5.0, 6.0], [1.0, 1.0]], [[4.0, 5.0], [3.0, 0.0], [0.0, 0.0]], [[5.0, 9.0], [9.0, 7.0], [9.0, 9.0]]]","[[[4.0, 5.0], [5.0, 4.0], [9.0, 5.0]], [[6.0, 5.0], [0.0, 3.0], [7.0, 9.0]], [[1.0, 1.0], [0.0, 0.0], [9.0, 9.0]]]",positive,treatment
22,"(0.3333333333333333, 0.6, 0.06666666666666667)","(0.13333333333333333, 0.8, 0.06666666666666667)","[[[4.0, 5.0], [3.0, 0.0], [9.0, 7.0]], [[7.0, 9.0], [9.0, 9.0], [0.0, 4.0]], [[5.0, 6.0], [4.0, 9.0], [3.0, 2.0]]]","[[[5.0, 4.0], [9.0, 7.0], [6.0, 5.0]], [[0.0, 3.0], [9.0, 9.0], [9.0, 4.0]], [[7.0, 9.0], [4.0, 0.0], [2.0, 3.0]]]",positive,treatment
23,"(0.8, 0.2, 0.0)","(0.4666666666666667, 0.26666666666666666, 0.26666666666666666)","[[[7.0, 8.0], [2.0, 6.0], [2.0, 1.0]], [[6.0, 3.0], [5.0, 6.0], [5.0, 3.0]], [[2.0, 3.0], [5.0, 5.0], [7.0, 5.0]]]","[[[8.0, 7.0], [3.0, 6.0], [3.0, 2.0]], [[6.0, 2.0], [6.0, 5.0], [5.0, 5.0]], [[1.0, 2.0], [3.0, 5.0], [5.0, 7.0]]]",positive,treatment
24,"(0.6666666666666666, 0.3333333333333333, 0.0)","(0.13333333333333333, 0.0, 0.8666666666666667)","[[[6.0, 9.0], [2.0, 0.0], [2.0, 1.0]], [[0.0, 1.0], [5.0, 5.0], [4.0, 1.0]], [[7.0, 6.0], [7.0, 7.0], [3.0, 3.0]]]","[[[9.0, 6.0], [1.0, 0.0], [6.0, 7.0]], [[0.0, 2.0], [5.0, 5.0], [7.0, 7.0]], [[1.0, 2.0], [1.0, 4.0], [3.0, 3.0]]]",positive,treatment
25,"(0.7333333333333333, 0.0, 0.26666666666666666)","(1.0, 0.0, 0.0)","[[[8.0, 9.0], [6.0, 5.0], [9.0, 6.0]], [[4.0, 2.0], [0.0, 1.0], [8.0, 5.0]], [[4.0, 4.0], [0.0, 4.0], [0.0, 4.0]]]","[[[9.0, 8.0], [2.0, 4.0], [4.0, 4.0]], [[5.0, 6.0], [1.0, 0.0], [4.0, 0.0]], [[6.0, 9.0], [5.0, 8.0], [4.0, 0.0]]]",positive,treatment
26,"(0.0, 1.0, 0.0)","(0.42857142857142855, 0.07142857142857142, 0.5)","[[[2.0, 2.0], [7.0, 7.0], [7.0, 6.0]], [[2.0, 1.0], [6.0, 9.0], [4.0, 3.0]], [[8.0, 5.0], [6.0, 9.0], [5.0, 3.0]]]","[[[2.0, 2.0], [1.0, 2.0], [5.0, 8.0]], [[7.0, 7.0], [9.0, 6.0], [9.0, 6.0]], [[6.0, 7.0], [3.0, 4.0], [3.0, 5.0]]]",positive,treatment
27,"(0.0, 0.0, 1.0)","(0.8666666666666667, 0.13333333333333333, 0.0)","[[[3.0, 2.0], [4.0, 8.0], [8.0, 8.0]], [[2.0, 2.0], [3.0, 3.0], [7.0, 6.0]], [[3.0, 3.0], [3.0, 0.0], [5.0, 6.0]]]","[[[2.0, 3.0], [2.0, 2.0], [3.0, 3.0]], [[8.0, 4.0], [3.0, 3.0], [0.0, 3.0]], [[8.0, 8.0], [6.0, 7.0], [6.0, 5.0]]]",positive,treatment
28,"(0.0, 0.7333333333333333, 0.26666666666666666)","(0.4, 0.06666666666666667, 0.5333333333333333)","[[[1.0, 4.0], [7.0, 5.0], [3.0, 0.0]], [[3.0, 6.0], [5.0, 7.0], [5.0, 5.0]], [[7.0, 2.0], [4.0, 6.0], [7.0, 6.0]]]","[[[4.0, 1.0], [6.0, 3.0], [2.0, 7.0]], [[5.0, 7.0], [7.0, 5.0], [6.0, 4.0]], [[0.0, 3.0], [5.0, 5.0], [6.0, 7.0]]]",positive,treatment
29,"(0.0, 1.0, 0.0)","(0.6, 0.4, 0.0)","[[[2.0, 3.0], [8.0, 7.0], [1.0, 0.0]], [[7.0, 4.0], [6.0, 7.0], [3.0, 3.0]], [[5.0, 5.0], [5.0, 7.0], [2.0, 1.0]]]","[[[3.0, 2.0], [4.0, 7.0], [5.0, 5.0]], [[7.0, 8.0], [7.0, 6.0], [7.0, 5.0]], [[0.0, 1.0], [3.0, 3.0], [1.0, 2.0]]]",positive,treatment
30,"(0.0625, 0.6875, 0.25)","(1.0, 0.0, 0.0)","[[[7.0, 4.0], [7.0, 9.0], [9.0, 8.0]], [[2.0, 3.0], [5.0, 1.0], [4.0, 0.0]], [[3.0, 3.0], [5.0, 3.0], [6.0, 4.0]]]","[[[4.0, 7.0], [3.0, 2.0], [3.0, 3.0]], [[9.0, 7.0], [1.0, 5.0], [3.0, 5.0]], [[8.0, 9.0], [0.0, 4.0], [4.0, 6.0]]]",positive,treatment
31,"(0.6666666666666666, 0.26666666666666666, 0.06666666666666667)","(0.4, 0.2, 0.4)","[[[8, 8], [2, 6], [0, 5]], [[6, 2], [6, 6], [2, 5]], [[5, 0], [5, 2], [5, 5]]]","[[[8, 8], [2, 6], [0, 5]], [[6, 2], [6, 6], [2, 5]], [[5, 0], [5, 2], [5, 5]]]",positive,comparison
32,"(0.2, 0.6, 0.2)","(0.0, 0.6666666666666666, 0.3333333333333333)","[[[2.0, 1.0], [5.0, 4.0], [3.0, 4.0]], [[6.0, 8.0], [8.0, 9.0], [6.0, 7.0]], [[9.0, 7.0], [9.0, 6.0], [4.0, 7.0]]]","[[[1.0, 2.0], [8.0, 6.0], [7.0, 9.0]], [[4.0, 5.0], [9.0, 8.0], [6.0, 9.0]], [[4.0, 3.0], [7.0, 6.0], [7.0, 4.0]]]",positive,treatment
33,"(1.0, 0.0, 0.0)","(0.6, 0.13333333333333333, 0.26666666666666666)","[[[8.0, 9.0], [1.0, 2.0], [4.0, 1.0]], [[6.0, 5.0], [5.0, 1.0], [7.0, 7.0]], [[6.0, 8.0], [3.0, 4.0], [8.0, 5.0]]]","[[[9.0, 8.0], [5.0, 6.0], [8.0, 6.0]], [[2.0, 1.0], [1.0, 5.0], [4.0, 3.0]], [[1.0, 4.0], [7.0, 7.0], [5.0, 8.0]]]",positive,treatment
34,"(0.26666666666666666, 0.3333333333333333, 0.4)","(0.2, 0.7333333333333333, 0.06666666666666667)","[[[3.0, 1.0], [3.0, 0.0], [8.0, 7.0]], [[5.0, 9.0], [6.0, 9.0], [7.0, 7.0]], [[0.0, 1.0], [1.0, 0.0], [8.0, 6.0]]]","[[[1.0, 3.0], [9.0, 5.0], [1.0, 0.0]], [[0.0, 3.0], [9.0, 6.0], [0.0, 1.0]], [[7.0, 8.0], [7.0, 7.0], [6.0, 8.0]]]",positive,treatment
