pid,role,session_code,started,tot_payoff,treatment
bc2gfcyr,row,viazupku,2019-04-05 21:50:46.092523+00:00,271,negative
elo7hdc1,col,viazupku,2019-04-05 21:50:47.656305+00:00,261,negative
qekwlinc,row,viazupku,2019-04-05 22:02:07.106722+00:00,293,negative
0i6hqce0,col,viazupku,2019-04-05 21:50:52.406745+00:00,360,positive
92yp6cfv,row,viazupku,2019-04-05 21:50:52.985296+00:00,251,negative
h44v1lat,row,viazupku,2019-04-05 21:50:53.978951+00:00,259,negative
bj75llcy,row,viazupku,2019-04-05 21:50:55.336201+00:00,273,negative
a2g0jqhg,row,viazupku,2019-04-05 21:50:56.193959+00:00,334,positive
rnvkwe0s,row,viazupku,2019-04-05 21:50:57.876224+00:00,286,negative
j4cykh5s,row,viazupku,2019-04-05 21:50:58.102797+00:00,363,positive
tfrv9ur3,row,viazupku,2019-04-05 21:50:59.122121+00:00,374,positive
xbsqkv8u,row,viazupku,2019-04-05 21:51:00.342307+00:00,353,positive
h9t1pr8c,col,viazupku,2019-04-05 21:51:01.862049+00:00,247,negative
m6iueeqo,col,viazupku,2019-04-05 21:51:02.461674+00:00,381,positive
bv69xryn,col,viazupku,2019-04-05 21:51:06.026513+00:00,361,positive
oh60y7nk,col,viazupku,2019-04-05 21:51:20.178377+00:00,344,positive
mt6ua6hf,col,viazupku,2019-04-05 21:51:43.330939+00:00,243,negative
fo6bgdxc,row,viazupku,2019-04-05 21:52:33.822948+00:00,277,negative
ni6u4rhx,col,viazupku,2019-04-05 21:52:42.247472+00:00,263,negative
3ato1e1g,row,viazupku,2019-04-05 21:52:58.754857+00:00,279,negative
xmp2rpd3,row,viazupku,2019-04-05 21:54:02.664939+00:00,379,positive
6ao479wc,row,viazupku,2019-04-05 21:56:05.674796+00:00,327,positive
yqyhcxlm,col,viazupku,2019-04-05 21:56:35.772555+00:00,261,negative
kdxoihlh,row,viazupku,2019-04-05 21:56:36.362042+00:00,367,positive
qk3riszh,row,viazupku,2019-04-05 21:58:40.101113+00:00,350,positive
59rcta2j,col,viazupku,2019-04-05 22:00:17.265163+00:00,282,negative
slalolve,col,viazupku,2019-04-05 22:00:44.854953+00:00,335,positive
h83gnmvy,row,viazupku,2019-04-05 22:01:05.473068+00:00,271,negative
ifcobcpd,col,viazupku,2019-04-05 22:01:28.289374+00:00,271,negative
ymw7pu6t,col,viazupku,2019-04-05 22:02:58.603152+00:00,321,positive
60jvs77b,row,viazupku,2019-04-05 22:05:26.554256+00:00,341,positive
elw72dws,col,viazupku,2019-04-05 22:05:32.076983+00:00,262,negative
3t7vrxvy,row,viazupku,2019-04-05 22:05:38.823993+00:00,276,negative
3h33p7m2,col,viazupku,2019-04-05 22:06:04.962781+00:00,349,positive
wuka5jlr,col,viazupku,2019-04-05 22:10:46.094487+00:00,234,negative
dvzydfjw,row,viazupku,2019-04-05 22:12:16.644220+00:00,351,positive
me3vpcvn,row,viazupku,2019-04-05 22:13:02.889306+00:00,350,positive
a4n3lz3w,row,viazupku,2019-04-05 22:13:33.725700+00:00,326,positive
wlxjjufa,col,viazupku,2019-04-05 22:15:39.701786+00:00,336,positive
qmh34a2r,col,viazupku,2019-04-05 22:19:40.171920+00:00,267,negative
94gtx7wn,col,viazupku,2019-04-05 22:19:19.673551+00:00,315,positive
63a6y2n3,row,viazupku,2019-04-05 22:28:19.324791+00:00,274,negative
9fjasvr4,col,viazupku,2019-04-05 22:29:33.123076+00:00,278,negative
b0q5x03q,col,viazupku,2019-04-05 22:32:55.167362+00:00,369,positive
329dhjpl,row,viazupku,2019-04-05 22:34:47.811736+00:00,250,negative
8kropxto,col,viazupku,2019-04-05 22:42:58.578428+00:00,264,negative
hf94kvsa,row,viazupku,2019-04-05 22:45:15.239888+00:00,364,positive
fef7xdbr,row,viazupku,2019-04-05 22:51:23.500113+00:00,271,negative
15furhi9,col,viazupku,2019-04-05 22:51:34.935364+00:00,268,negative
g7lfxurr,col,viazupku,2019-04-05 22:51:53.871983+00:00,375,positive
4arl00o6,row,viazupku,2019-04-05 22:51:58.956038+00:00,263,negative
13k83mni,row,viazupku,2019-04-05 22:52:19.264504+00:00,362,positive
gmihq3xv,col,viazupku,2019-04-05 22:53:55.824499+00:00,366,positive
u5j160em,row,viazupku,2019-04-05 22:57:48.335365+00:00,269,negative
1fhy3igz,col,viazupku,2019-04-05 23:03:38.188802+00:00,278,negative
6cy32m28,row,viazupku,2019-04-05 23:05:04.849171+00:00,354,positive
b6mywdtl,col,viazupku,2019-04-05 23:06:59.312357+00:00,349,positive
ssyip8fr,col,viazupku,2019-04-05 23:22:53.570758+00:00,268,negative
3koeh4q4,row,viazupku,2019-04-05 23:26:50.414439+00:00,361,positive
ure42scb,col,viazupku,2019-04-05 23:27:26.697231+00:00,353,positive
